ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry
304,2017,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Charles Schwab,Machine Learning Engineer,Software
214,2005,Political Science,Social Sciences,Biology,Natural Sciences,,,Unknown,Student,Education
215,2006,Anthropology,Social Sciences,Biology,Natural Sciences,,,U. of Florida Emerging Pathologies Institute,Epidemologist,Healthcare
302,2017,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Roskamp Institute,Research Assistant,
300,2018,Chemistry,Natural Sciences,Biology,Natural Sciences,,,Miami-Dade County,Pollution Control Inspector,Government
394,2008,Economics,Social Sciences,Biology,Natural Sciences,,,James A Haley VA Hospital,Psychiatrist,Psychotherapy
437,2015,Environmental Studies,Interdisciplinary,Biopsychology,Interdisciplinary,,,US Forest Service,Forestry Tecnician,Government
295,2004,Art History,Humanities,Chemistry,Natural Sciences,,,Arkansas Department of Health,CDC Grant Corodinator,
789,2016,Neuroscience,Interdisciplinary,Chemistry,Natural Sciences,,,Unknown,,
305,2015,Interdisciplinary,Interdisciplinary,Chemistry,Natural Sciences,,,ID Tech Camps,Lead instructor,Information Technology
218,2004,Biology,Natural Sciences,Chemistry,Natural Sciences,,,New College of Florida,Assistant Professor of Biology,Education
221,2014,Biology,Natural Sciences,Chemistry,Natural Sciences,,,National Institute of Allergy & Infectious Diseases,Postdoctoral Researcher,
226,2013,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Indiana University,Assoc Instructor of Dev Biology,Education
832,2009,Physics,Natural Sciences,Chemistry,Natural Sciences,,,Collaborative Drug Discovery,,Software
225,2020,Biology,Natural Sciences,Chemistry,Natural Sciences,,,"Florida Affiliated Dental Support, LLC",Administrative Assistant,Dentistry
222,2003,Biology,Natural Sciences,Chemistry,Natural Sciences,,,unknown,,
220,2010,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Brown University,PhD Student,Education
223,2002,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Companion Animal Hospital,Clinical Veterinary Technician,Healthcare Services
219,2002,Biology,Natural Sciences,Chemistry,Natural Sciences,,,University of Colorado,Research Associate (post-doc),Research
224,2008,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Apple Store,Visual Merchandising/Inventory,
649,2017,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,,,Unknown,,Education
650,2012,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,,,"GrantWorks, Inc.",Director of Project Management,
338,2015,International and Area Studies,Interdisciplinary,Chinese Language and Culture,Humanities,,,Behavior Analyst Certification Board,Research Specialist,Non Profit
310,2020,History,Social Sciences,Chinese Language and Culture,Humanities,,,"O'Brien & Bennett, P.A.",Legal Assistant,Law
1059,2013,Humanities,Humanities,Chinese Language and Culture,Humanities,,,Walgreens,Sales Clerk,Retail
293,2014,Chemistry,Natural Sciences,Classics,Humanities,,,Self Employed,Social Media Consultant,
125,2015,Art History,Humanities,Classics,Humanities,,,"Schoenberg Database of Manuscripts, U. of Pennsylvania",Research Assistant,Research
322,2005,Anthropology,Social Sciences,Classics,Humanities,,,Food Tank,Sales & Accounting Associate,Non Profit
321,2005,Anthropology,Social Sciences,Classics,Humanities,,,Fusion Academy,Teacher,Education
323,2010,Medieval & Renaissance Studies,Interdisciplinary,Classics,Humanities,,,unemployed,,
730,2017,Mathematics,Natural Sciences,Computer Science,Natural Sciences,,,MIT Media Lab,Research Intern,Education
732,2008,Mathematics,Natural Sciences,Computer Science,Natural Sciences,,,"Big Nerd Ranch, Inc.",Software Engineer,Technology
91,2012,Applied Mathematics,Natural Sciences,Computer Science,Natural Sciences,,,Puppytown,Sales,Retail
409,2020,Urban Studies,Interdisciplinary,Economics,Social Sciences,,,Realize Bradenton,Research Assistant,Research
1143,2020,Spanish Language and Literature,Humanities,Economics,Social Sciences,,,People Engaged in Active Community Efforts (PEACE),Associate Organizer,Community Services
392,2018,Applied Mathematics,Natural Sciences,Economics,Social Sciences,,,New College,Residence Hall Director,Higher education
751,2014,Music,Humanities,Economics,Social Sciences,,,World Performance Records,Audio Engineer and Producer,Music
391,2010,Applied Mathematics,Natural Sciences,Economics,Social Sciences,,,Ranieri Real Estate Advisors,Analyst,Investment banking
400,2016,Economics,Social Sciences,Economics,Social Sciences,,,MapleMark Bank,Sr. Data Analyst,
408,2009,Mathematics,Natural Sciences,Economics,Social Sciences,,,CitiGroup,Leveraged Finance Analyst,Financial Services
390,2011,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,US Dept of Homeland Security,Economist,Government
653,2013,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Lush,Sales Associate,
403,2014,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Sequoya Group,Business Analyst,
899,2011,Political Science,Social Sciences,Economics,Social Sciences,,,Florida House of Representatives,Assistant,Government
876,2020,Political Science,Social Sciences,Economics,Social Sciences,,,"H New Media, LLC",Legal Assistant,Law
404,2018,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Dees Insurance Group,Insurance Advisor,Insurance
384,2010,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Bank of America,"Assistant VP, Document Administrator III",
383,2003,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Hispanic/Latino Coalition,Researcher,Nonprofit
136,2014,Art,Humanities,Economics,Social Sciences,,,IBM Security,Social Media Strategist,
398,2019,Economics,Social Sciences,Economics,Social Sciences,,,Accenture CIPP/E,Security Consulting Analyst,
898,2008,Political Science,Social Sciences,Economics,Social Sciences,,,Stanford University,Master of Arts Degree Candidate,Education
401,2020,Economics,Social Sciences,Economics,Social Sciences,,,FIS,Business Analyst,
382,2004,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,World Bank Institute Evaluation Group,,
406,2010,Mathematics,Natural Sciences,Economics,Social Sciences,,,University of Georgia,PhD Student,Education
655,2019,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,Advanced Technology Group,Solutions Consultant,
393,2015,Applied Mathematics,Natural Sciences,Economics,Social Sciences,,,UF Health,Senior Health Economics Analyst,
894,2014,Political Science,Social Sciences,Economics,Social Sciences,,,America Votes,National Deputy Political Director,
567,2010,History,Social Sciences,Economics,Social Sciences,,,JCPenney,Sales Associate,Retail
402,2012,Gender Studies,Social Sciences,Economics,Social Sciences,,,University of Utah,teaching assistant,Education
385,2002,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,"Saxon, Gilmore, Carraway",Associate Attorney,Law
900,2013,Political Science,Social Sciences,Economics,Social Sciences,,,Epic,Project Manager,Software
895,2004,Political Science,Social Sciences,Economics,Social Sciences,,,Feld Entertainment Inc.,Tour Business Manager,Entertainment
878,2003,Political Science,Social Sciences,Economics,Social Sciences,,,Sylvia Manzanero Law Firm PLLC,Attorney,Law
397,2018,Economics,Social Sciences,Economics,Social Sciences,,,Krull-Smith,Florist,Farming
399,2019,Economics,Social Sciences,Economics,Social Sciences,,,Unum,Business Analyst,
879,2004,Political Science,Social Sciences,Economics,Social Sciences,,,"Cibank, KBC Group",Head of Organization Division,Banking
654,2015,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,La Clinica de La Raza,Perinatal Case Manager,Healthcare
652,2015,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,GPS Industries,Account Executive,Software
896,2005,Political Science,Social Sciences,Economics,Social Sciences,,,VeeMed Inc.,Chief Revenue Officer,
407,2014,Mathematics,Natural Sciences,Economics,Social Sciences,,,University of Wisconsin-Madison,Teaching Assistant,Education
405,2002,International and Area Studies,Interdisciplinary,Economics,Social Sciences,,,IMG Academies,Staff,Sports Management
489,2002,Environmental Studies,Interdisciplinary,Economics,Social Sciences,,,Illinois State University,Assistant Professor,Education
877,2009,Political Science,Social Sciences,Economics,Social Sciences,,,University of Virginia,PhD Candidate & Teaching Assistant,Education
897,2014,Political Science,Social Sciences,Economics,Social Sciences,,,WA State Dept of Labor and Industries,Revenue Agent,Government
429,2020,Interdisciplinary,Interdisciplinary,English,Humanities,,,Pinellas County Tax Collector,Communications Specialist,Communications
432,2014,History,Social Sciences,English,Humanities,,,Emissary,Senior Software Engineer,Software
433,2012,Philosophy,Humanities,English,Humanities,,,Poloi Players' Editron Magazine,Editor,Publishing
438,2004,Art,Humanities,Environmental Studies,Interdisciplinary,,,Center for Research in Nutrition and Health Disparities,Evaluation Coordinator / Research Coordinator,Healthcare
396,2007,Economics,Social Sciences,Environmental Studies,Interdisciplinary,,,University of Florida,Professor - Economics,Education
492,2010,Urban Studies,Interdisciplinary,Environmental Studies,Interdisciplinary,,,Georgia Department of Community Affairs,Multifamily Underwriter,City/County/State
880,2005,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Tampa Bay Estuary Program,Assistant Director,Environmental
213,2007,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,Max Planck Institute,Scientist,
436,2007,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,Centers for Disease Control and Prevention,Epidemiologist,Healthcare
501,2009,French,Humanities,Environmental Studies,Interdisciplinary,,,Freelance Director,,Film
883,2002,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Sheshunoff Information Services,Marketing Coordinator,Publishing
212,2020,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,Lygos,Molecular Biology Research Associate I,Research
491,2020,Urban Studies,Interdisciplinary,Environmental Studies,Interdisciplinary,,,Sarasota County Government,Planning and Development Services Intern,City/County/State
490,2007,Marine Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,University of FL-Program of Fisheries & Aquatic Sciences,Graduate Assistant,Education
881,2009,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Ministry of Education,Teacher,Education
884,2011,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Environmental Protection Agency (EPA),ORISE Fellow,Environmental
1123,2011,Sociology,Social Sciences,Environmental Studies,Interdisciplinary,,,"Maglio, Christopher & Toale",Attorney,Law
1011,2002,Psychology,Social Sciences,Environmental Studies,Interdisciplinary,,,Environmental Protection Agency,Presidential Management Fellow,Government
882,2009,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,One Acre Fund,"Senior Manager, Business Development",
574,2008,History,Social Sciences,Environmental Studies,Interdisciplinary,,,Texas Sunset Advisory Commission,Policy Analyst,Government
494,2008,Classics,Humanities,Foreign Languages and Literatures,Humanities,,,Unknown,,Publishing
502,2006,Gender Studies,Social Sciences,French,Humanities,,,Austin Film Society,Associate Artistic Director,Film
498,2009,English,Humanities,French,Humanities,,,"Barrasso Usdin Kupperman Freeman & Sarver, LLC",Associate,
499,2012,English,Humanities,French,Humanities,,,Berklee College of Music,Assistant Resident Director,Education
500,2013,English,Humanities,French,Humanities,,,Freelance Copywriter,Freelance Writer,Marketing
251,2007,English,Humanities,Gender Studies,Social Sciences,,,FIS,Newswriter,
254,2002,English,Humanities,Gender Studies,Social Sciences,,,Arizona State University,Assistant Professor,Education
1022,2014,Psychology,Social Sciences,Gender Studies,Social Sciences,,,New College of Florida,Compliance Officer & Deputy Title IX Coordinator,
1021,2013,Psychology,Social Sciences,Gender Studies,Social Sciences,,,Generation SERVE,Marketing Coordinator,Marketing
902,2017,Political Science,Social Sciences,Gender Studies,Social Sciences,,,Planned Parenthood,Regional Organizer,Non Profit
1124,2019,Sociology,Social Sciences,Gender Studies,Social Sciences,,,"Groundspeed Analytics, Inc.",People Operations Coordinator,
692,2015,Literature,Humanities,Gender Studies,Social Sciences,,,Petco,Merchandise Operations Leader,Retail
1134,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,,,"Planned Parenthood of South, East & North Florida",Statewide Director of Organizing,Non Profit
70,2013,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,FLYTE Sweden AB,Consultant - Content Writing,
250,2007,English,Humanities,Gender Studies,Social Sciences,,,I & Love & You,Field Marketing Manager,Pet Food
1135,2016,Sociology,Social Sciences,Gender Studies,Social Sciences,,,National Latina Institute for Reproductive Health,Public Affairs Associate,Non Profit
73,2010,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Caramoor Center for Music and the Arts,Communications Marketing Manager,Arts
1083,2010,Social Sciences,Social Sciences,Gender Studies,Social Sciences,,,Florida State University,Law Student,Education
504,2019,Spanish Language and Literature,Humanities,Gender Studies,Social Sciences,,,Holochain,Events & Community Calendar,
129,2015,Art History,Humanities,Gender Studies,Social Sciences,,,Coder,Sales Development Representative,
75,2013,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Bull City Psychotherapy,Clinical Therapist,
1132,2011,Sociology,Social Sciences,Gender Studies,Social Sciences,,,Institute for Communitarian Policy Studies,Executive Aide,Government
505,2020,Music,Humanities,Gender Studies,Social Sciences,,,A2f Studios,Assistant Studio Manager,Music
431,2013,English,Humanities,Gender Studies,Social Sciences,,,Green Door Behavioral Health,Employment Specialist,Human Resources
1136,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,,,Booz Allen Hamilton,,Information Technology
1018,2006,Psychology,Social Sciences,Gender Studies,Social Sciences,,,Auburn School District,Behavior Intervention Specialist,Education
72,2008,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Creative Players,Founder & Director,Arts & Entertainment
227,2005,Biology,Natural Sciences,Gender Studies,Social Sciences,,,"Merck& Co., Inc.",Engineer,Engineering
1019,2012,Psychology,Social Sciences,Gender Studies,Social Sciences,,,William G. and Marie Selby Foundation,Scholarships/Special Project Mgr,Non Profit
1129,2012,Sociology,Social Sciences,Gender Studies,Social Sciences,,,Waltham House - House for Little Wanderers,Direct Care Counselor,
74,2010,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Carle Health,Registered Nurse,
693,2015,Literature,Humanities,Gender Studies,Social Sciences,,,Presence,Director of Marketing,Online Media
252,2006,English,Humanities,Gender Studies,Social Sciences,,,Speedway,Bike Messenger,Communications
128,2013,Art History,Humanities,Gender Studies,Social Sciences,,,Flocabulary,Director of Product,
1133,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,,,Planned Parenthood,Health Care Representative,Healthcare
695,2005,Literature,Humanities,Gender Studies,Social Sciences,,,Carrera Adolescent Pregnancy Prevention Program,Education Coordinator,Education
71,2011,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Americorps*VISTA,Coordinator,Education
253,2002,English,Humanities,Gender Studies,Social Sciences,,,State College of Florida,Adjunct of L&L Department,Education
228,2012,Biology,Natural Sciences,Gender Studies,Social Sciences,,,Johns Hopkins University School of Medicine,Research Technologist,Education
1137,2012,Sociology,Social Sciences,Gender Studies,Social Sciences,,,Wellesley College,Director of Student Wellness,
694,2005,Literature,Humanities,Gender Studies,Social Sciences,,,Unknown,Teacher - High School,Education
1131,2002,Sociology,Social Sciences,Gender Studies,Social Sciences,,,Unknown,,Military
1020,2014,Psychology,Social Sciences,Gender Studies,Social Sciences,,,Planned Parenthood,Reproductive Health Assistant,Non Profit
1130,2013,Sociology,Social Sciences,Gender Studies,Social Sciences,,,UN World Food Programme,Gender Consultant,
538,2015,Psychology,Social Sciences,German Language and Literature,Humanities,,,IMG Academy,Tutor,Education
130,2014,Art History,Humanities,German Language and Literature,Humanities,,,The Museum of Flight,Development Coordinator,Museums and Institutions
540,2007,Humanities,Humanities,German Language and Literature,Humanities,,,Investor Management Services,Sr. Research Associate,Software
61,2009,Anthropology,Social Sciences,German Language and Literature,Humanities,,,East Fork Cultivars,Account Manager,Farming
577,2015,History,Social Sciences,German Language and Literature,Humanities,,,Mortgage Originator,Mortgage Originator,Financial Services
746,2004,Music,Humanities,German Language and Literature,Humanities,,,Curtis Institute of Music,Professor of Music,Education
339,2019,International and Area Studies,Interdisciplinary,Anthropology,Social Sciences,,,New College of Florida,Hebrew teaching Assistant,Education
542,2003,Economics,Social Sciences,Spanish Language and Culture,Humanities,,,unknown,,
903,2002,Political Science,Social Sciences,Spanish Language and Culture,Humanities,,,Defender Association of Philadelphia,Attorney,Law
697,2002,Literature,Humanities,Spanish Language and Culture,Humanities,,,Nova Southeastern University,Assistant Professor of Counseling,Education
576,2004,Gender Studies,Social Sciences,History,Social Sciences,,,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Associate,Law
77,2002,Anthropology,Social Sciences,History,Social Sciences,,,Moffitt Cancer Center,Intellectual Property Paralegal,Healthcare
1024,2008,Psychology,Social Sciences,History,Social Sciences,,,University of Maryland,Doctoral Student in Social Psychology,Education
904,2013,Political Science,Social Sciences,History,Social Sciences,,,Searcy Denney Law,Project Assistant,Law
76,2011,Anthropology,Social Sciences,History,Social Sciences,,,Self employed,Independent Ios Developer,Software
905,2006,Political Science,Social Sciences,History,Social Sciences,,,Stinson Morrison Hecker,Attorney,Law
886,2004,Political Science,Social Sciences,History,Social Sciences,,,Eckerd College,Assistant Professor Political Science,Education
572,2008,English,Humanities,History,Social Sciences,,,Self Employed,Freelance Editor,Publishing
62,2005,Anthropology,Social Sciences,History,Social Sciences,,,SRS Consulting,Owner - Cultural Resource planning,
573,2004,Economics,Social Sciences,History,Social Sciences,,,US Chamber of Commerce Foundation,"Senior Director, Research & Issue Networks",Non Profit
579,2011,Mathematics,Natural Sciences,History,Social Sciences,,,Charles Schwab,Data Scientist,Financial Services
569,2009,Political Science,Social Sciences,History,Social Sciences,,,"Kaufman Dolowich & Voluck, LLP",Partner,
578,2012,International and Area Studies,Interdisciplinary,History,Social Sciences,,,Classic Collectible Service,,
1023,2005,Psychology,Social Sciences,History,Social Sciences,,,Unknown,,Government
885,2005,Political Science,Social Sciences,History,Social Sciences,,,Congress-Senator Mark Udall (D-CO),Deputy Communications Director,Government
575,2007,Gender Studies,Social Sciences,History,Social Sciences,,,Roane State Community College,Physical Therapist Assistant,Healthcare
368,2006,Economics,Social Sciences,,,,,The Institute for Defense Analyses (IDA),Research Staff Member (Statistics),Defense & Space
656,2012,French,Humanities,International and Area Studies,Interdisciplinary,,,TAPIF,English Teacher,Education
891,2002,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,KSD Law,Managing Attorney,Law
660,2016,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Samasource,,Information Technology
658,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Institute for Multi-Trade Diplomacy,Intern,International Economic Development Consulting
659,2009,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Regions Bank,Branch Service Leader,Banking
657,2013,Gender Studies,Social Sciences,International and Area Studies,Interdisciplinary,,,Public Library of Science,Email Marketing Manager,Marketing
273,2003,Chemistry,Natural Sciences,,,,,Genentech,Regulatory Affairs Intern,Research
907,2003,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Millennium Challenge Corporation,Senior Program Officer,Non Profit
887,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Critical Language Scholarship,Student,Education
888,2009,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,IARD,,Non Profit
906,2004,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Caribu,Founder,Software
908,2005,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Wayfair,Data Scientist,Data Science
1138,2013,Sociology,Social Sciences,International and Area Studies,Interdisciplinary,,,University of South Florida,Graduate Instructor,Education
568,2010,History,Social Sciences,International and Area Studies,Interdisciplinary,,,Peace Corps,Development Education Specialist,Development
662,2020,Urban Studies,Interdisciplinary,International and Area Studies,Interdisciplinary,,,City of McCall,Assistant City Planner,City/County/State
1139,2013,Sociology,Social Sciences,International and Area Studies,Interdisciplinary,,,Mexico Solidarity Network,Study Abroad Coordinator,Education
690,2008,Art,Humanities,Literature,Humanities,,,Teamworks Keller Williams,Buyer Specialist,Real Estate
698,2019,"Theater, Dance and Performance Studies",Humanities,Literature,Humanities,,,Sarasota Contemporary Dance,Company Member & Dance Performer,Performing Arts
702,2011,Spanish Language and Literature,Humanities,Literature,Humanities,,,Emory University,,Education
701,2011,Spanish Language and Literature,Humanities,Literature,Humanities,,,University of Denver,"Associate Director, Constituency Programs & Giving",Education
696,2015,German Language and Literature,Humanities,Literature,Humanities,,,St. Laurent Properties,Property Manager,
691,2004,Classics,Humanities,Literature,Humanities,,,Generation Rwanda,Director of Marketing & Development,Non Profit
715,2002,Psychology,Social Sciences,Marine Biology,Natural Sciences,,,U.S. Fish and Wildlife Service,Environmental Education,Government
716,2018,Chinese Language and Culture,Humanities,Marine Biology,Natural Sciences,,,Saint Stephen's Episcopal School,Coordinator of Campus Activities,Education
386,2010,Economics,Social Sciences,Mathematics,Natural Sciences,,,College of William & Mary,Asst Professor,Education
833,2004,Physics,Natural Sciences,Mathematics,Natural Sciences,,,Great Bay Community College,Professor,Education
816,2005,Philosophy,Humanities,Mathematics,Natural Sciences,,,Columbia University,Philosophy Professor,Education
909,2008,Political Science,Social Sciences,Mathematics,Natural Sciences,,,Smart Data Solutions,Senior Data Scientist,Technology
736,2010,Spanish Language and Literature,Humanities,Medieval & Renaissance Studies,Interdisciplinary,,,Diocese of Venice,Seminarian,Religion
132,2013,Art History,Humanities,Music,Humanities,,,Finn Law Group PA,Paralegal,Law
752,2005,Spanish Language and Culture,Humanities,Music,Humanities,,,New College of Florida,clerical support,Education
747,2015,Natural Sciences,Natural Sciences,Music,Humanities,,,JET Program,Assistant Language Teacher,Education
1026,2016,Psychology,Social Sciences,Music,Humanities,,,Charlotte County Public Schools,Substitute Teacher,Education
818,2015,Music,Humanities,Philosophy,Humanities,,,IMG Academy,SAT / ACT Teacher,Education
819,2008,Political Science,Social Sciences,Philosophy,Humanities,,,University of Wisconsin-Madison Hospital and Clinics,"Clinical Fellow, Speech-Language Pathologist",Health & Fitness
1012,2013,Psychology,Social Sciences,Philosophy,Humanities,,,"Student Business Services Co-Op of Sarasota, LLC",Transcriptionist,
817,2015,Music,Humanities,Philosophy,Humanities,,,Renaissance Jacksonville,Chief Strategist,Education
820,2005,Humanities,Humanities,Philosophy,Humanities,,,Harvard Divinity School,Associate Professor of Theology,Education
63,2006,Anthropology,Social Sciences,Philosophy,Humanities,,,University of CA Santa Cruz,unknown,Education
810,2011,Economics,Social Sciences,Philosophy,Humanities,,,The Lewin Group,Consultant,
812,2003,Humanities,Humanities,Philosophy,Humanities,,,unknown,,
1027,2008,Psychology,Social Sciences,Philosophy,Humanities,,,National Labor Relations Board,,Government
813,2003,Humanities,Humanities,Philosophy,Humanities,,,Office of Maryland Attorney General,Assistant Attorney General,Law
814,2012,Classics,Humanities,Philosophy,Humanities,,,FMP Consulting,,Business Consulting
815,2010,Economics,Social Sciences,Philosophy,Humanities,,,Morrison & Lee LLC,Privacy Attorney,Law
1067,2017,Russian Language and Literature,Humanities,Philosophy,Humanities,,,Wells Fargo,Quality Assurance Team Lead,Financial Services
78,2008,Anthropology,Social Sciences,Philosophy,Humanities,,,OMG Women's Health Care,Nurse Midwife,Healthcare
1062,2015,Humanities,Humanities,Philosophy,Humanities,,,Duke TiP / Rice University,Resident Counselor,Education
