"","ID","GRAD_YEAR","AOC_num","AOC","DIVISION","Industry","Position","Org_Name"
"92",1059,2013,"1","Humanities","Humanities","Retail","Sales Clerk","Walgreens"
"93",1059,2013,"2","Chinese Language and Culture","Humanities","Retail","Sales Clerk","Walgreens"
"94",125,2015,"1","Art History","Humanities","Research","Research Assistant","Schoenberg Database of Manuscripts, U. of Pennsylvania"
"95",125,2015,"2","Classics","Humanities","Research","Research Assistant","Schoenberg Database of Manuscripts, U. of Pennsylvania"
"96",322,2005,"1","Anthropology","Social Sciences","Non Profit","Sales & Accounting Associate","Food Tank"
"97",322,2005,"2","Classics","Humanities","Non Profit","Sales & Accounting Associate","Food Tank"
"98",321,2005,"1","Anthropology","Social Sciences","Education","Teacher","Fusion Academy"
"99",321,2005,"2","Classics","Humanities","Education","Teacher","Fusion Academy"
"100",730,2017,"1","Mathematics","Natural Sciences","Education","Research Intern","MIT Media Lab"
"101",730,2017,"2","Computer Science","Natural Sciences","Education","Research Intern","MIT Media Lab"
"102",732,2008,"1","Mathematics","Natural Sciences","Technology","Software Engineer","Big Nerd Ranch, Inc."
"103",732,2008,"2","Computer Science","Natural Sciences","Technology","Software Engineer","Big Nerd Ranch, Inc."
"104",91,2012,"1","Applied Mathematics","Natural Sciences","Retail","Sales","Puppytown"
"105",91,2012,"2","Computer Science","Natural Sciences","Retail","Sales","Puppytown"
"106",409,2020,"1","Urban Studies","Interdisciplinary","Research","Research Assistant","Realize Bradenton"
"107",409,2020,"2","Economics","Social Sciences","Research","Research Assistant","Realize Bradenton"
"108",1143,2020,"1","Spanish Language and Literature","Humanities","Community Services","Associate Organizer","People Engaged in Active Community Efforts (PEACE)"
"109",1143,2020,"2","Economics","Social Sciences","Community Services","Associate Organizer","People Engaged in Active Community Efforts (PEACE)"
"110",392,2018,"1","Applied Mathematics","Natural Sciences","Higher education","Residence Hall Director","New College"
"111",392,2018,"2","Economics","Social Sciences","Higher education","Residence Hall Director","New College"
"112",751,2014,"1","Music","Humanities","Music","Audio Engineer and Producer","World Performance Records"
"113",751,2014,"2","Economics","Social Sciences","Music","Audio Engineer and Producer","World Performance Records"
"114",391,2010,"1","Applied Mathematics","Natural Sciences","Investment banking","Analyst","Ranieri Real Estate Advisors"
"115",391,2010,"2","Economics","Social Sciences","Investment banking","Analyst","Ranieri Real Estate Advisors"
"116",408,2009,"1","Mathematics","Natural Sciences","Financial Services","Leveraged Finance Analyst","CitiGroup"
"117",408,2009,"2","Economics","Social Sciences","Financial Services","Leveraged Finance Analyst","CitiGroup"
"118",390,2011,"1","International and Area Studies","Interdisciplinary","Government","Economist","US Dept of Homeland Security"
"119",390,2011,"2","Economics","Social Sciences","Government","Economist","US Dept of Homeland Security"
"120",899,2011,"1","Political Science","Social Sciences","Government","Assistant","Florida House of Representatives"
"121",899,2011,"2","Economics","Social Sciences","Government","Assistant","Florida House of Representatives"
"122",876,2020,"1","Political Science","Social Sciences","Law","Legal Assistant","H New Media, LLC"
"123",876,2020,"2","Economics","Social Sciences","Law","Legal Assistant","H New Media, LLC"
"124",404,2018,"1","International and Area Studies","Interdisciplinary","Insurance","Insurance Advisor","Dees Insurance Group"
"125",404,2018,"2","Economics","Social Sciences","Insurance","Insurance Advisor","Dees Insurance Group"
"126",383,2003,"1","International and Area Studies","Interdisciplinary","Nonprofit","Researcher","Hispanic/Latino Coalition"
"127",383,2003,"2","Economics","Social Sciences","Nonprofit","Researcher","Hispanic/Latino Coalition"
"128",898,2008,"1","Political Science","Social Sciences","Education","Master of Arts Degree Candidate","Stanford University"
"129",898,2008,"2","Economics","Social Sciences","Education","Master of Arts Degree Candidate","Stanford University"
"130",406,2010,"1","Mathematics","Natural Sciences","Education","PhD Student","University of Georgia"
"131",406,2010,"2","Economics","Social Sciences","Education","PhD Student","University of Georgia"
"132",567,2010,"1","History","Social Sciences","Retail","Sales Associate","JCPenney"
"133",567,2010,"2","Economics","Social Sciences","Retail","Sales Associate","JCPenney"
"134",402,2012,"1","Gender Studies","Social Sciences","Education","teaching assistant","University of Utah"
"135",402,2012,"2","Economics","Social Sciences","Education","teaching assistant","University of Utah"
"136",385,2002,"1","International and Area Studies","Interdisciplinary","Law","Associate Attorney","Saxon, Gilmore, Carraway"
"137",385,2002,"2","Economics","Social Sciences","Law","Associate Attorney","Saxon, Gilmore, Carraway"
"138",900,2013,"1","Political Science","Social Sciences","Software","Project Manager","Epic"
"139",900,2013,"2","Economics","Social Sciences","Software","Project Manager","Epic"
"140",895,2004,"1","Political Science","Social Sciences","Entertainment","Tour Business Manager","Feld Entertainment Inc."
"141",895,2004,"2","Economics","Social Sciences","Entertainment","Tour Business Manager","Feld Entertainment Inc."
"142",878,2003,"1","Political Science","Social Sciences","Law","Attorney","Sylvia Manzanero Law Firm PLLC"
"143",878,2003,"2","Economics","Social Sciences","Law","Attorney","Sylvia Manzanero Law Firm PLLC"
"144",397,2018,"1","Economics","Social Sciences","Farming","Florist","Krull-Smith"
"145",397,2018,"2","Economics","Social Sciences","Farming","Florist","Krull-Smith"
"146",879,2004,"1","Political Science","Social Sciences","Banking","Head of Organization Division","Cibank, KBC Group"
"147",879,2004,"2","Economics","Social Sciences","Banking","Head of Organization Division","Cibank, KBC Group"
"148",654,2015,"1","International and Area Studies","Interdisciplinary","Healthcare","Perinatal Case Manager","La Clinica de La Raza"
"149",654,2015,"2","Economics","Social Sciences","Healthcare","Perinatal Case Manager","La Clinica de La Raza"
"150",652,2015,"1","International and Area Studies","Interdisciplinary","Software","Account Executive","GPS Industries"
"151",652,2015,"2","Economics","Social Sciences","Software","Account Executive","GPS Industries"
"152",407,2014,"1","Mathematics","Natural Sciences","Education","Teaching Assistant","University of Wisconsin-Madison"
"153",407,2014,"2","Economics","Social Sciences","Education","Teaching Assistant","University of Wisconsin-Madison"
"154",405,2002,"1","International and Area Studies","Interdisciplinary","Sports Management","Staff","IMG Academies"
"155",405,2002,"2","Economics","Social Sciences","Sports Management","Staff","IMG Academies"
"156",489,2002,"1","Environmental Studies","Interdisciplinary","Education","Assistant Professor","Illinois State University"
"157",489,2002,"2","Economics","Social Sciences","Education","Assistant Professor","Illinois State University"
"158",877,2009,"1","Political Science","Social Sciences","Education","PhD Candidate & Teaching Assistant","University of Virginia"
"159",877,2009,"2","Economics","Social Sciences","Education","PhD Candidate & Teaching Assistant","University of Virginia"
"160",897,2014,"1","Political Science","Social Sciences","Government","Revenue Agent","WA State Dept of Labor and Industries"
"161",897,2014,"2","Economics","Social Sciences","Government","Revenue Agent","WA State Dept of Labor and Industries"
"162",429,2020,"1","Interdisciplinary","Interdisciplinary","Communications","Communications Specialist","Pinellas County Tax Collector"
"163",429,2020,"2","English","Humanities","Communications","Communications Specialist","Pinellas County Tax Collector"
"164",432,2014,"1","History","Social Sciences","Software","Senior Software Engineer","Emissary"
"165",432,2014,"2","English","Humanities","Software","Senior Software Engineer","Emissary"
"166",433,2012,"1","Philosophy","Humanities","Publishing","Editor","Poloi Players' Editron Magazine"
"167",433,2012,"2","English","Humanities","Publishing","Editor","Poloi Players' Editron Magazine"
"168",438,2004,"1","Art","Humanities","Healthcare","Evaluation Coordinator / Research Coordinator","Center for Research in Nutrition and Health Disparities"
"169",438,2004,"2","Environmental Studies","Interdisciplinary","Healthcare","Evaluation Coordinator / Research Coordinator","Center for Research in Nutrition and Health Disparities"
"170",396,2007,"1","Economics","Social Sciences","Education","Professor - Economics","University of Florida"
"171",396,2007,"2","Environmental Studies","Interdisciplinary","Education","Professor - Economics","University of Florida"
"172",492,2010,"1","Urban Studies","Interdisciplinary","City/County/State","Multifamily Underwriter","Georgia Department of Community Affairs"
"173",492,2010,"2","Environmental Studies","Interdisciplinary","City/County/State","Multifamily Underwriter","Georgia Department of Community Affairs"
"174",880,2005,"1","Political Science","Social Sciences","Environmental","Assistant Director","Tampa Bay Estuary Program"
"175",880,2005,"2","Environmental Studies","Interdisciplinary","Environmental","Assistant Director","Tampa Bay Estuary Program"
"176",436,2007,"1","Biology","Natural Sciences","Healthcare","Epidemiologist","Centers for Disease Control and Prevention"
"177",436,2007,"2","Environmental Studies","Interdisciplinary","Healthcare","Epidemiologist","Centers for Disease Control and Prevention"
"178",501,2009,"1","French","Humanities","Film",NA,"Freelance Director"
"179",501,2009,"2","Environmental Studies","Interdisciplinary","Film",NA,"Freelance Director"
"180",883,2002,"1","Political Science","Social Sciences","Publishing","Marketing Coordinator","Sheshunoff Information Services"
"181",883,2002,"2","Environmental Studies","Interdisciplinary","Publishing","Marketing Coordinator","Sheshunoff Information Services"
"182",212,2020,"1","Biology","Natural Sciences","Research","Molecular Biology Research Associate I","Lygos"
"183",212,2020,"2","Environmental Studies","Interdisciplinary","Research","Molecular Biology Research Associate I","Lygos"
"184",491,2020,"1","Urban Studies","Interdisciplinary","City/County/State","Planning and Development Services Intern","Sarasota County Government"
"185",491,2020,"2","Environmental Studies","Interdisciplinary","City/County/State","Planning and Development Services Intern","Sarasota County Government"
"186",490,2007,"1","Marine Biology","Natural Sciences","Education","Graduate Assistant","University of FL-Program of Fisheries & Aquatic Sciences"
"187",490,2007,"2","Environmental Studies","Interdisciplinary","Education","Graduate Assistant","University of FL-Program of Fisheries & Aquatic Sciences"
"188",881,2009,"1","Political Science","Social Sciences","Education","Teacher","Ministry of Education"
"189",881,2009,"2","Environmental Studies","Interdisciplinary","Education","Teacher","Ministry of Education"
"190",884,2011,"1","Political Science","Social Sciences","Environmental","ORISE Fellow","Environmental Protection Agency (EPA)"
"191",884,2011,"2","Environmental Studies","Interdisciplinary","Environmental","ORISE Fellow","Environmental Protection Agency (EPA)"
"192",1123,2011,"1","Sociology","Social Sciences","Law","Attorney","Maglio, Christopher & Toale"
"193",1123,2011,"2","Environmental Studies","Interdisciplinary","Law","Attorney","Maglio, Christopher & Toale"
"194",1011,2002,"1","Psychology","Social Sciences","Government","Presidential Management Fellow","Environmental Protection Agency"
"195",1011,2002,"2","Environmental Studies","Interdisciplinary","Government","Presidential Management Fellow","Environmental Protection Agency"
"196",574,2008,"1","History","Social Sciences","Government","Policy Analyst","Texas Sunset Advisory Commission"
"197",574,2008,"2","Environmental Studies","Interdisciplinary","Government","Policy Analyst","Texas Sunset Advisory Commission"
"198",494,2008,"1","Classics","Humanities","Publishing",NA,"Unknown"
"199",494,2008,"2","Foreign Languages and Literatures","Humanities","Publishing",NA,"Unknown"
"200",502,2006,"1","Gender Studies","Social Sciences","Film","Associate Artistic Director","Austin Film Society"
"201",502,2006,"2","French","Humanities","Film","Associate Artistic Director","Austin Film Society"
"202",499,2012,"1","English","Humanities","Education","Assistant Resident Director","Berklee College of Music"
"203",499,2012,"2","French","Humanities","Education","Assistant Resident Director","Berklee College of Music"
"204",500,2013,"1","English","Humanities","Marketing","Freelance Writer","Freelance Copywriter"
"205",500,2013,"2","French","Humanities","Marketing","Freelance Writer","Freelance Copywriter"
"206",254,2002,"1","English","Humanities","Education","Assistant Professor","Arizona State University"
"207",254,2002,"2","Gender Studies","Social Sciences","Education","Assistant Professor","Arizona State University"
"208",1021,2013,"1","Psychology","Social Sciences","Marketing","Marketing Coordinator","Generation SERVE"
"209",1021,2013,"2","Gender Studies","Social Sciences","Marketing","Marketing Coordinator","Generation SERVE"
"210",902,2017,"1","Political Science","Social Sciences","Non Profit","Regional Organizer","Planned Parenthood"
"211",902,2017,"2","Gender Studies","Social Sciences","Non Profit","Regional Organizer","Planned Parenthood"
"212",692,2015,"1","Literature","Humanities","Retail","Merchandise Operations Leader","Petco"
"213",692,2015,"2","Gender Studies","Social Sciences","Retail","Merchandise Operations Leader","Petco"
"214",1134,2013,"1","Sociology","Social Sciences","Non Profit","Statewide Director of Organizing","Planned Parenthood of South, East & North Florida"
"215",1134,2013,"2","Gender Studies","Social Sciences","Non Profit","Statewide Director of Organizing","Planned Parenthood of South, East & North Florida"
"216",250,2007,"1","English","Humanities","Pet Food","Field Marketing Manager","I & Love & You"
"217",250,2007,"2","Gender Studies","Social Sciences","Pet Food","Field Marketing Manager","I & Love & You"
"218",1135,2016,"1","Sociology","Social Sciences","Non Profit","Public Affairs Associate","National Latina Institute for Reproductive Health"
"219",1135,2016,"2","Gender Studies","Social Sciences","Non Profit","Public Affairs Associate","National Latina Institute for Reproductive Health"
"220",73,2010,"1","Anthropology","Social Sciences","Arts","Communications Marketing Manager","Caramoor Center for Music and the Arts"
"221",73,2010,"2","Gender Studies","Social Sciences","Arts","Communications Marketing Manager","Caramoor Center for Music and the Arts"
"222",1083,2010,"1","Social Sciences","Social Sciences","Education","Law Student","Florida State University"
"223",1083,2010,"2","Gender Studies","Social Sciences","Education","Law Student","Florida State University"
"224",1132,2011,"1","Sociology","Social Sciences","Government","Executive Aide","Institute for Communitarian Policy Studies"
"225",1132,2011,"2","Gender Studies","Social Sciences","Government","Executive Aide","Institute for Communitarian Policy Studies"
"226",505,2020,"1","Music","Humanities","Music","Assistant Studio Manager","A2f Studios"
"227",505,2020,"2","Gender Studies","Social Sciences","Music","Assistant Studio Manager","A2f Studios"
"228",431,2013,"1","English","Humanities","Human Resources","Employment Specialist","Green Door Behavioral Health"
"229",431,2013,"2","Gender Studies","Social Sciences","Human Resources","Employment Specialist","Green Door Behavioral Health"
"230",1136,2013,"1","Sociology","Social Sciences","Information Technology",NA,"Booz Allen Hamilton"
"231",1136,2013,"2","Gender Studies","Social Sciences","Information Technology",NA,"Booz Allen Hamilton"
"232",1018,2006,"1","Psychology","Social Sciences","Education","Behavior Intervention Specialist","Auburn School District"
"233",1018,2006,"2","Gender Studies","Social Sciences","Education","Behavior Intervention Specialist","Auburn School District"
"234",72,2008,"1","Anthropology","Social Sciences","Arts & Entertainment","Founder & Director","Creative Players"
"235",72,2008,"2","Gender Studies","Social Sciences","Arts & Entertainment","Founder & Director","Creative Players"
"236",227,2005,"1","Biology","Natural Sciences","Engineering","Engineer","Merck& Co., Inc."
"237",227,2005,"2","Gender Studies","Social Sciences","Engineering","Engineer","Merck& Co., Inc."
"238",1019,2012,"1","Psychology","Social Sciences","Non Profit","Scholarships/Special Project Mgr","William G. and Marie Selby Foundation"
"239",1019,2012,"2","Gender Studies","Social Sciences","Non Profit","Scholarships/Special Project Mgr","William G. and Marie Selby Foundation"
"240",693,2015,"1","Literature","Humanities","Online Media","Director of Marketing","Presence"
"241",693,2015,"2","Gender Studies","Social Sciences","Online Media","Director of Marketing","Presence"
"242",252,2006,"1","English","Humanities","Communications","Bike Messenger","Speedway"
"243",252,2006,"2","Gender Studies","Social Sciences","Communications","Bike Messenger","Speedway"
"244",1133,2013,"1","Sociology","Social Sciences","Healthcare","Health Care Representative","Planned Parenthood"
"245",1133,2013,"2","Gender Studies","Social Sciences","Healthcare","Health Care Representative","Planned Parenthood"
"246",695,2005,"1","Literature","Humanities","Education","Education Coordinator","Carrera Adolescent Pregnancy Prevention Program"
"247",695,2005,"2","Gender Studies","Social Sciences","Education","Education Coordinator","Carrera Adolescent Pregnancy Prevention Program"
"248",71,2011,"1","Anthropology","Social Sciences","Education","Coordinator","Americorps*VISTA"
"249",71,2011,"2","Gender Studies","Social Sciences","Education","Coordinator","Americorps*VISTA"
"250",253,2002,"1","English","Humanities","Education","Adjunct of L&L Department","State College of Florida"
"251",253,2002,"2","Gender Studies","Social Sciences","Education","Adjunct of L&L Department","State College of Florida"
"252",228,2012,"1","Biology","Natural Sciences","Education","Research Technologist","Johns Hopkins University School of Medicine"
"253",228,2012,"2","Gender Studies","Social Sciences","Education","Research Technologist","Johns Hopkins University School of Medicine"
"254",694,2005,"1","Literature","Humanities","Education","Teacher - High School","Unknown"
"255",694,2005,"2","Gender Studies","Social Sciences","Education","Teacher - High School","Unknown"
"256",1131,2002,"1","Sociology","Social Sciences","Military",NA,"Unknown"
"257",1131,2002,"2","Gender Studies","Social Sciences","Military",NA,"Unknown"
"258",1020,2014,"1","Psychology","Social Sciences","Non Profit","Reproductive Health Assistant","Planned Parenthood"
"259",1020,2014,"2","Gender Studies","Social Sciences","Non Profit","Reproductive Health Assistant","Planned Parenthood"
"260",538,2015,"1","Psychology","Social Sciences","Education","Tutor","IMG Academy"
"261",538,2015,"2","German Language and Literature","Humanities","Education","Tutor","IMG Academy"
"262",130,2014,"1","Art History","Humanities","Museums and Institutions","Development Coordinator","The Museum of Flight"
"263",130,2014,"2","German Language and Literature","Humanities","Museums and Institutions","Development Coordinator","The Museum of Flight"
"264",540,2007,"1","Humanities","Humanities","Software","Sr. Research Associate","Investor Management Services"
"265",540,2007,"2","German Language and Literature","Humanities","Software","Sr. Research Associate","Investor Management Services"
"266",61,2009,"1","Anthropology","Social Sciences","Farming","Account Manager","East Fork Cultivars"
"267",61,2009,"2","German Language and Literature","Humanities","Farming","Account Manager","East Fork Cultivars"
"268",577,2015,"1","History","Social Sciences","Financial Services","Mortgage Originator","Mortgage Originator"
"269",577,2015,"2","German Language and Literature","Humanities","Financial Services","Mortgage Originator","Mortgage Originator"
"270",746,2004,"1","Music","Humanities","Education","Professor of Music","Curtis Institute of Music"
"271",746,2004,"2","German Language and Literature","Humanities","Education","Professor of Music","Curtis Institute of Music"
"272",339,2019,"1","International and Area Studies","Interdisciplinary","Education","Hebrew teaching Assistant","New College of Florida"
"273",339,2019,"2","Anthropology","Social Sciences","Education","Hebrew teaching Assistant","New College of Florida"
"274",903,2002,"1","Political Science","Social Sciences","Law","Attorney","Defender Association of Philadelphia"
"275",903,2002,"2","Spanish Language and Culture","Humanities","Law","Attorney","Defender Association of Philadelphia"
"276",697,2002,"1","Literature","Humanities","Education","Assistant Professor of Counseling","Nova Southeastern University"
"277",697,2002,"2","Spanish Language and Culture","Humanities","Education","Assistant Professor of Counseling","Nova Southeastern University"
"278",576,2004,"1","Gender Studies","Social Sciences","Law","Associate","Paul, Weiss, Rifkind, Wharton & Garrison LLP"
"279",576,2004,"2","History","Social Sciences","Law","Associate","Paul, Weiss, Rifkind, Wharton & Garrison LLP"
"280",77,2002,"1","Anthropology","Social Sciences","Healthcare","Intellectual Property Paralegal","Moffitt Cancer Center"
"281",77,2002,"2","History","Social Sciences","Healthcare","Intellectual Property Paralegal","Moffitt Cancer Center"
"282",1024,2008,"1","Psychology","Social Sciences","Education","Doctoral Student in Social Psychology","University of Maryland"
"283",1024,2008,"2","History","Social Sciences","Education","Doctoral Student in Social Psychology","University of Maryland"
"284",904,2013,"1","Political Science","Social Sciences","Law","Project Assistant","Searcy Denney Law"
"285",904,2013,"2","History","Social Sciences","Law","Project Assistant","Searcy Denney Law"
"286",76,2011,"1","Anthropology","Social Sciences","Software","Independent Ios Developer","Self employed"
"287",76,2011,"2","History","Social Sciences","Software","Independent Ios Developer","Self employed"
"288",905,2006,"1","Political Science","Social Sciences","Law","Attorney","Stinson Morrison Hecker"
"289",905,2006,"2","History","Social Sciences","Law","Attorney","Stinson Morrison Hecker"
"290",886,2004,"1","Political Science","Social Sciences","Education","Assistant Professor Political Science","Eckerd College"
"291",886,2004,"2","History","Social Sciences","Education","Assistant Professor Political Science","Eckerd College"
"292",572,2008,"1","English","Humanities","Publishing","Freelance Editor","Self Employed"
