ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry
20,2007,Anthropology,Social Sciences,,,,,New College Child Care Center,Teacher,Education,Education
21,2012,Anthropology,Social Sciences,,,,,Hillsborough County Public Schools,Substitute Teacher,Education,Education
22,2005,Anthropology,Social Sciences,,,,,Alliance for a Healthier Generation,Healthy Out of School Time Manager,Education,Education
23,2013,Anthropology,Social Sciences,,,,,University of Arizona,Graduate Teahing Assistant / Resarch assistant,Education,Education
24,2005,Anthropology,Social Sciences,,,,,Gibbs Houston Pauw,Paralegal,Law,Law
25,2003,Anthropology,Social Sciences,,,,,Oregon Department of Fish & Wildlife,Cultural Resources Specialist,Government,Government
26,2014,Anthropology,Social Sciences,,,,,Fool and Scholar Productions,Writer & Creator,Entertainment,
27,2012,Anthropology,Social Sciences,,,,,OpenGov Inc.,Professional Services Manager,Software,
28,2012,Anthropology,Social Sciences,,,,,Kyoto City Board of Education,Assistant Language Teacher,Education,Education
29,2010,Anthropology,Social Sciences,,,,,New College of Florida,Campus Life Coordinator,Educational Services,Educational Services
30,2015,Anthropology,Social Sciences,,,,,Self- Employed,Doula,Healthcare,
31,2012,Anthropology,Social Sciences,,,,,The Top Resturant,Front of House Assistant,Restaurant,Restaurant
32,2009,Anthropology,Social Sciences,,,,,Alachua County Public Schools,Extended Day Enrichment Program On-Site Coordinato,Education,Education
33,2011,Anthropology,Social Sciences,,,,,McGuire Managment Group,Corporate Wine Director,Food Service,Food Service
34,2016,Anthropology,Social Sciences,,,,,ConwayStrategic,Communications Fellow,Communications,Communications
35,2008,Anthropology,Social Sciences,,,,,Village Coffee,Barista,Restaurant,Restaurant
36,2007,Anthropology,Social Sciences,,,,,Apple,Technician,Technology,Technology
37,2004,Anthropology,Social Sciences,,,,,Gentlestorm Productions LLC,President/Creative Director,Online Media,Online Media
38,2014,Anthropology,Social Sciences,,,,,"Crafted Earth, INC.",Project Assistant,Architecture,Architecture
39,2005,Anthropology,Social Sciences,,,,,Drug Policy Alliance,Publications Manager,Nonprofit,Nonprofit
40,2005,Anthropology,Social Sciences,,,,,"Sandler, Travis & Rosenberg",Sr. Marketing Director,Media,Media
41,2011,Anthropology,Social Sciences,,,,,The National September 11 Memorial & Museum,Collections Management Assistant,Museums and Institutions,
42,2015,Anthropology,Social Sciences,,,,,The Kindezi Schools,,Education,Education
43,2004,Anthropology,Social Sciences,,,,,Green Light Acupuncture,Licensed Acupunturist,Medical,Medical
44,2007,Anthropology,Social Sciences,,,,,Unknown,,Unknown,
45,2003,Anthropology,Social Sciences,,,,,Hummingbird Law,Associate Lawyer,Law,Law
46,2015,Anthropology,Social Sciences,,,,,Americorps,Americorps Vista,Non Profit,Non Profit
47,2013,Anthropology,Social Sciences,,,,,Trader Joe's,Cashier,Food Service,Food Service
48,2017,Anthropology,Social Sciences,,,,,Sky Vegetables,Greenhouse Coordinator,Farming,
49,2010,Anthropology,Social Sciences,,,,,unknown,Higher Education professional,Education,Education
50,2012,Anthropology,Social Sciences,,,,,Great Basin Institute,Park Guide,Archaeology,Archaeology
51,2004,Anthropology,Social Sciences,,,,,EJB Benefit Auctions,Lead Auctioneer & Fundraising Consultant,Consulting,Consulting
52,2014,Anthropology,Social Sciences,,,,,SCF Business Group,"Quality Assurance, Scribe",Business,
53,2005,Anthropology,Social Sciences,,,,,Island Village Montessori School,,Education,
54,2015,Anthropology,Social Sciences,,,,,Spanish Govt,English Teacher,Education,Education
55,2004,Anthropology,Social Sciences,,,,,Advanced Green Technologies,Project manager,Technology,Technology
56,2017,Anthropology,Social Sciences,,,,,VISTA,Development & Outreach Coordinator,Software,
57,2004,Anthropology,Social Sciences,,,,,Seattle Central College,Associate Dean of Transfer Education,Education,Education
58,2012,Anthropology,Social Sciences,,,,,The Bureau Adventure Games,CEO,Entertainment,
59,2013,Anthropology,Social Sciences,,,,,Habitat for Humanity ReStore,Sales Associate,Retail,Retail
60,2002,Anthropology,Social Sciences,,,,,Unknown,Clinical Social Worker,Education,Education
61,2009,Anthropology,Social Sciences,German Language and Literature,Humanities,,,East Fork Cultivars,Account Manager,Farming,Farming
62,2005,Anthropology,Social Sciences,History,Social Sciences,,,SRS Consulting,Owner - Cultural Resource planning,Consulting,
63,2006,Anthropology,Social Sciences,Philosophy,Humanities,,,University of CA Santa Cruz,unknown,Education,Education
64,2007,Anthropology,Social Sciences,Art,Humanities,,,Pretzel Lab,Lead Design Researcher,Research,
65,2002,Anthropology,Social Sciences,Art History,Humanities,,,USDA Natural Resources Conservation Service,Archaeologist/Cultural Resource Specialist,Environmental,Environmental
66,2006,Classics,Humanities,Anthropology,Social Sciences,,,ETSU Museum Studies,Education Coordinator,Education,Education
67,2007,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,DanceSafe,Executive Director,Non Profit,Non Profit
68,2006,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,BizBuySell,Sales,Retail,Retail
69,2014,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,,,Colorado Sun,Politics Reporter,Media,
70,2013,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,FLYTE Sweden AB,Consultant - Content Writing,Business Consulting,
71,2011,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Americorps*VISTA,Coordinator,Education,Education
72,2008,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Creative Players,Founder & Director,Arts & Entertainment,Arts & Entertainment
73,2010,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Caramoor Center for Music and the Arts,Communications Marketing Manager,Arts,Arts
74,2010,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Carle Health,Registered Nurse,Medical,
75,2013,Anthropology,Social Sciences,Gender Studies,Social Sciences,,,Bull City Psychotherapy,Clinical Therapist,Psychotherapy,
76,2011,Anthropology,Social Sciences,History,Social Sciences,,,Self employed,Independent Ios Developer,Software,Software
77,2002,Anthropology,Social Sciences,History,Social Sciences,,,Moffitt Cancer Center,Intellectual Property Paralegal,Healthcare,Healthcare
78,2008,Anthropology,Social Sciences,Philosophy,Humanities,,,OMG Women's Health Care,Nurse Midwife,Healthcare,Healthcare
79,2007,Anthropology,Social Sciences,Philosophy,Humanities,,,Unknown,,Arts & Entertainment,Arts & Entertainment
80,2003,Political Science,Social Sciences,Anthropology,Social Sciences,,,Dakota Lithium Batteries,CEO,Technology,
81,2003,Humanities,Humanities,Anthropology,Social Sciences,,,U.S. Department of State,Program Analyst,Government,Government
82,2006,Anthropology,Social Sciences,Sociology,Social Sciences,,,Spencer Cox Ctr for Health Mt Sinai St. Luke Roosevelt Hosp,Program Director,Healthcare,Healthcare
83,2008,Anthropology,Social Sciences,Spanish Language and Literature,Humanities,,,Tulane University School of Medicine,Pulmonary & Critical Care Fellow,Medical,
84,2005,Anthropology,Social Sciences,Spanish Language and Literature,Humanities,,,"Eye for Talent, Tree Frog Treks, Blue Bear School",Musician,Arts & Entertainment,Arts & Entertainment
85,2009,Anthropology,Social Sciences,Performance Studies,Interdisciplinary,,,The Art Theatre Cooperative,General Manager,Film,Film
86,2015,Applied Mathematics,Natural Sciences,,,,,Kellstrom Materials,Data Analyst,Manufacturing,Manufacturing
87,2016,Applied Mathematics,Natural Sciences,,,,,Superluminal Partners,Partner,Law,
88,2016,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,,,Sage Renewable Energy Consulting,Associate,Services,Services
89,2011,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,,,Navy Medical Research Center,Research Associate,Research,
90,2012,Computer Science,Natural Sciences,Applied Mathematics,Natural Sciences,,,Google,Software Engineer,Software,Software
91,2012,Applied Mathematics,Natural Sciences,Computer Science,Natural Sciences,,,Puppytown,Sales,Retail,Retail
92,2013,Music,Humanities,Applied Mathematics,Natural Sciences,,,PharmaCline,Math Modeller,Medical,Medical
93,2008,Art,Humanities,,,,,Lina Maslo Illustration,Freelance Author & Illustrator,Art,Art
94,2006,Art,Humanities,,,,,San Mateo County Library,Librarian,Library,Library
95,2010,Art,Humanities,,,,,North American Teaching and Cultural Assistant Program,Teaching Assistant,Education,Education
96,2010,Art,Humanities,,,,,Big E's Cafe,Barista,Food Service,
97,2009,Art,Humanities,,,,,The School of the Art Institute of Chicago,Student Designer,Education,Education
98,2012,Art,Humanities,,,,,Manatee County School District,Art Teacher,Education,Education
99,2006,Art,Humanities,,,,,Self-Employed,Massage,Healthcare,Healthcare
100,2014,Art,Humanities,,,,,PostcardMania,Quality Control Manager,Marketing,
101,2007,Art,Humanities,,,,,Smithsonian Center for Learning & Digital Access,Digital Interactive Designer,Media,Media
102,2015,Art,Humanities,,,,,Anthropologie,Sales Associate,Retail,Retail
103,2009,Art,Humanities,,,,,"UrbanWorks, Ltd.",Designer,Architecture,Architecture
104,2007,Art,Humanities,,,,,Boston College,Staff Assistant,Education,Education
105,2009,Art,Humanities,,,,,Schoolhouse,Graphic Designer,Arts,Arts
106,2008,Art,Humanities,,,,,Ready-to-Grow Gardens,Owner,Arts,Arts
107,2016,Art,Humanities,,,,,Art Center Sarasota,Exhibitions & Marketing Coordinator,Arts,
108,2011,Art,Humanities,,,,,Rollins College Child Development Cneter,Assistant Teacher,Education,Education
109,2007,Art,Humanities,,,,,New York City Office of Emergency Management,Outreach Coordinator,Government,
110,2006,Art,Humanities,,,,,"Marina Williams Art, Design & Photography",Freelance Photographer/Artist,Antiques,Antiques
111,2011,Art,Humanities,,,,,WiSP Sports Network,Producer & Host,Media,
112,2008,Art,Humanities,,,,,Conifer Health Solutions,Senior Referral Advisor,Healthcare,Healthcare
113,2010,Art,Humanities,,,,,Etra Fine Art,Gallerist,Arts,Arts
114,2012,Art History,Humanities,Art,Humanities,,,Hunter College,College Assistant at Zabar Art Library,Education,Education
115,2012,Art History,Humanities,,,,,Starbucks,Shift Supervisor,Food Service,
116,2002,Art History,Humanities,,,,,Bank of America,Assistant General Counsel,Banking,Banking
117,2013,Art History,Humanities,,,,,Caldwell Snyder Gallery,Gallery Administrator,Non Profit,Non Profit
118,2017,Art History,Humanities,,,,,Whitney Museum of American Art,Visitor Services Assistant,Museums and Institutions,Museums and Institutions
119,2012,Art History,Humanities,,,,,Self employed,Leadership Coach & Business Consultant,Business Consulting,
120,2013,Art History,Humanities,,,,,Freelance,Copy Editor,Media,
121,2005,Art History,Humanities,,,,,Customink.com,Sales/Service Representative,Textiles,Textiles
122,2019,Art History,Humanities,,,,,Sarasota Museum of Art,Curatorial Assistant,Museums and Institutions,Museums and Institutions
123,2013,Art History,Humanities,,,,,Museum of Arts and Design,Assistant Registrar,Museums and Institutions,Museums and Institutions
124,2008,Art History,Humanities,,,,,Galveston County District Attorney,Assistant District Attorney,Law,Law
125,2015,Art History,Humanities,Classics,Humanities,,,"Schoenberg Database of Manuscripts, U. of Pennsylvania",Research Assistant,Research,Research
126,2013,German Language and Literature,Humanities,Art History,Humanities,,,Crisis Action,HR Assistant,Non Profit,Non Profit
127,2019,International and Area Studies,Interdisciplinary,Art History,Humanities,,,J. Paul Getty Trust,"Graduate Intern, Digital & Print Publications",Arts,
128,2013,Art History,Humanities,Gender Studies,Social Sciences,,,Flocabulary,Director of Product,Education,
129,2015,Art History,Humanities,Gender Studies,Social Sciences,,,Coder,Sales Development Representative,Software,
130,2014,Art History,Humanities,German Language and Literature,Humanities,,,The Museum of Flight,Development Coordinator,Museums and Institutions,Museums and Institutions
131,2010,Literature,Humanities,Art History,Humanities,,,"Jane Rotosen Agency, LLC",Rights Associate (Literary Agent),Publishing,Publishing
132,2013,Art History,Humanities,Music,Humanities,,,Finn Law Group PA,Paralegal,Law,Law
133,2019,Art,Humanities,Art History,Humanities,,,Temple Beth Sholom,Youth Advisor,Religion,Religion
134,2018,Art,Humanities,Art History,Humanities,,,Boston Tea Party Cafe,Team Member,Food Service,
135,2016,Art,Humanities,Art History,Humanities,,,TestMasters,,Educational Services,Educational Services
136,2014,Art,Humanities,Economics,Social Sciences,,,IBM Security,Social Media Strategist,Technology,
137,2013,Chemistry,Natural Sciences,,,,,University of Michigan,General Surgery Resident,Medical,
138,2005,Chemistry,Natural Sciences,,,,,Cornell Cooperative Extension,Agriculture Resource Educator,Agriculture,Agriculture
139,2020,Chemistry,Natural Sciences,,,,,University of Miami,Laboratory Assistant,Education,
140,2013,Chemistry,Natural Sciences,,,,,Washington U Sch of Med Neurology Dept,Research Technician,Research,
141,2014,Chemistry,Natural Sciences,,,,,Americorps,Corps Member,Non Profit,Non Profit
142,2018,Chemistry,Natural Sciences,,,,,The Hebrew University of Jerusalem,Research Assistant (part-time),Higher education,Higher education
143,2013,Chemistry,Natural Sciences,,,,,Cold Spring Harbor Laboratory,Postdoctoral Fellow,Education,
144,2010,Chemistry,Natural Sciences,,,,,Brigham and Women's Hospital,Clinical Fellow OBGYN,Healthcare,Healthcare
145,2004,Chemistry,Natural Sciences,,,,,Shriners Hospitals for Children,Corporate Counsel,Healthcare,Healthcare
146,2012,Chemistry,Natural Sciences,,,,,National Institute of Health,virology research lab assistant,Medical,Medical
147,2020,Chemistry,Natural Sciences,,,,,State College of Florida-Manatee-Sarasota,Supplemental Instruction Specialist,Higher education,Higher education
148,2005,Chemistry,Natural Sciences,,,,,BioMarin Pharmaceutical Inc.,"Scientist II, Statistical Genetics",Medical,
149,2016,Chemistry,Natural Sciences,,,,,University of Florida,Graduate Research Assistant,Education,Education
150,2013,Chemistry,Natural Sciences,,,,,University of South Carolina,Medical assistant,Medical,Medical
151,2010,Chemistry,Natural Sciences,,,,,Spectrum Youth and Family Services,Americorps Resource Coordinator,Services,Services
152,2007,Chemistry,Natural Sciences,,,,,University of South Florida,Graduate Assistant,Education,Education
153,2012,Chemistry,Natural Sciences,,,,,National Cancer Institute,post-baccalaureate research,Medical,Medical
154,2003,Biopsychology,Interdisciplinary,,,,,"Shenkman Capital Management, Inc.",Loan Operations Manager,Financial Services,
155,2006,Biopsychology,Interdisciplinary,,,,,Cornell University,Teaching & Research Assistant,Education,Education
156,2009,Biopsychology,Interdisciplinary,,,,,University of Florida-North Florida Research and Education C,Research Assistant,Education,
157,2010,Biopsychology,Interdisciplinary,,,,,MAPS,Executive Director of MAPS,Medical,
158,2013,Biopsychology,Interdisciplinary,,,,,Unknown,Admissions Work Study,Education,Education
159,2011,Biopsychology,Interdisciplinary,,,,,Optum,"Senior Consultant, Advisory Services",Medical,
160,2005,Biopsychology,Interdisciplinary,,,,,Regal Entertainment Group,General Manager,Services,Services
161,2007,Biopsychology,Interdisciplinary,,,,,Apple,Vision Scientist,Technology,
162,2013,Biopsychology,Interdisciplinary,,,,,Angels of Charity,Volunteer,Non Profit,
163,2007,Biopsychology,Interdisciplinary,,,,,PRA Health Sciences Assigned to Merck,Senior Clinical Trial Coordinator,Medical,Medical
164,2009,Biopsychology,Interdisciplinary,,,,,Cowlitz Family Health Center,ARNP,Healthcare,Healthcare
165,2009,Biopsychology,Interdisciplinary,,,,,Naval Aerospace Medical Institute,Physician-Aerospace Medicine Resident,Healthcare,Healthcare
166,2002,Biology,Natural Sciences,,,,,Fish and Wildlife Research Institute,Research Scientist,Environmental Science,Environmental Science
167,2003,Biology,Natural Sciences,,,,,Benjamin Zolper MD,Physical Therapist,Healthcare,Healthcare
168,2006,Biology,Natural Sciences,,,,,University of Chicago (Ecology & Evolution Dept),PhD Candidate,Education,Education
169,2012,Biology,Natural Sciences,,,,,University of Wisconsin-Madison,Graduate Student Researcher,Education,Education
170,2007,Biology,Natural Sciences,,,,,Wellington Veterinary Clinic,Veterinary Asst.,Healthcare,Healthcare
171,2006,Biology,Natural Sciences,,,,,Southside Community School,Science Teacher,Education,Education
172,2009,Biology,Natural Sciences,,,,,UT Southwestern Medical Center,Physician Assistant,Medical,
173,2002,Biology,Natural Sciences,,,,,National Oceanic and Atmospheric Administration,Program Coordinator,Environmental Services,Environmental Services
174,2018,Biology,Natural Sciences,,,,,F.W. Bucholz High School,Biology Teacher,Education,Education
175,2008,Biology,Natural Sciences,,,,,Regions Bank,Project Manager,Banking,Banking
176,2002,Biology,Natural Sciences,,,,,Sound Family Medicine,Physician,Healthcare,Healthcare
177,2002,Biology,Natural Sciences,,,,,University of Wisconsin at Madison,Research Specialist,Education,Education
178,2008,Biology,Natural Sciences,,,,,Banfield Pet Hospital,Small Animal Veterinary Technician,Medicine,Medicine
179,2006,Biology,Natural Sciences,,,,,Florida Digestive Health Specialists,Physician's Assistant,Healthcare,Healthcare
180,2009,Biology,Natural Sciences,,,,,Mountain Region Family Medicine PC,Osteopathic Physician,Healthcare,Healthcare
181,2020,Biology,Natural Sciences,,,,,Cosmetic Solutions,R&D Administrative Assistant,Business,
182,2010,Biology,Natural Sciences,,,,,Moffitt Cancer Center,Postdoctoral Fellow,Healthcare,Healthcare
183,2020,Biology,Natural Sciences,,,,,Kaycha Labs,Microbiologist/Laboratory Analyst,Research,
184,2014,Biology,Natural Sciences,,,,,Western Carolina University,Teaching Assistant,Education,Education
185,2004,Biology,Natural Sciences,,,,,Sarasota County,Environmental Specialist,City/County/State,City/County/State
186,2005,Biology,Natural Sciences,,,,,Trout Unlimited,Project Manager,Environmental Science,Environmental Science
187,2007,Biology,Natural Sciences,,,,,U. of FL Pain Research & Intervention Ctr of Excellence,Postdoctoral Fellow,Healthcare,Healthcare
188,2004,Biology,Natural Sciences,,,,,Bureau of Ocean Energy Management,Renewable Energy Program Specialist,Government,Government
189,2010,Biology,Natural Sciences,,,,,University of Florida,Lab Tech,Education,
190,2005,Biology,Natural Sciences,,,,,U.S. Peace Corps,Coastal Resource Manager,Non Profit,
191,2019,Biology,Natural Sciences,,,,,Roskamp Institute,Research Assistant,Research,
192,2003,Biology,Natural Sciences,,,,,unknown,Nurse Practicioner,Healthcare,Healthcare
193,2010,Biology,Natural Sciences,,,,,FL Museum of Natural History,Archivist,Museums and Institutions,Museums and Institutions
194,2008,Biology,Natural Sciences,,,,,Stacey Loves Science,Independent Tutor,Education,Education
195,2010,Biology,Natural Sciences,,,,,Hail Plantation Animal Clinic,,Healthcare,Healthcare
196,2012,Biology,Natural Sciences,,,,,Unknown,dentist,Dentistry,Dentistry
197,2013,Biology,Natural Sciences,,,,,Americorp,"""Americop""",Non Profit,Non Profit
198,2006,Biology,Natural Sciences,,,,,New York University,Graduate Assistant,Education,Education
199,2020,Biology,Natural Sciences,,,,,Insight Global,Contact Tracer,Business,
200,2003,Biology,Natural Sciences,,,,,University of Florida,Biological Scientist,Education,Education
201,2009,Biology,Natural Sciences,,,,,Eurofins,Group Leader,Research,
202,2007,Biology,Natural Sciences,,,,,King County Washington,Health & Wellbeing Project Manager,Government,
203,2014,Biology,Natural Sciences,,,,,Fred Hutchinson Cancer Research Center,"MSTP Student, Bloom Laboratory",Research,
204,2004,Biology,Natural Sciences,,,,,University of Missouri-Columbia,Post-Doc Lecturer,Education,Education
205,2008,Biology,Natural Sciences,,,,,"MEDNAX, Health Solutions Partner",Neonatologist,Medical,
206,2003,Biology,Natural Sciences,,,,,Harvard Medical School,Research Associate - Global Health & Social Medici,Research,
207,2013,Biology,Natural Sciences,,,,,Peace Corps,Peace Corps Volunteer,Government,Government
208,2010,Biology,Natural Sciences,,,,,Ringling College of Art & Design,Student Assistant,Education,Education
209,2005,Biology,Natural Sciences,,,,,Unknown,Environmental Scientist,Research,Research
210,2013,Biology,Natural Sciences,,,,,Baptist Hospital,Addiction Medicine Fellow,Medical,
211,2012,Biology,Natural Sciences,,,,,Fulbright,Fulbright Scholar-Chem,Research,Research
212,2020,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,Lygos,Molecular Biology Research Associate I,Research,Research
213,2007,Biology,Natural Sciences,Environmental Studies,Interdisciplinary,,,Max Planck Institute,Scientist,Research,
214,2005,Political Science,Social Sciences,Biology,Natural Sciences,,,Unknown,Student,Education,Education
215,2006,Anthropology,Social Sciences,Biology,Natural Sciences,,,U. of Florida Emerging Pathologies Institute,Epidemologist,Healthcare,Healthcare
216,2011,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,,,J. Gerard Correa Law Offices,Researcher,Law,Law
217,2015,Biopsychology,Interdisciplinary,Biology,Natural Sciences,,,Gateway Foundation,Substance Abuse Counselor,Healthcare Services,
218,2004,Biology,Natural Sciences,Chemistry,Natural Sciences,,,New College of Florida,Assistant Professor of Biology,Education,Education
219,2002,Biology,Natural Sciences,Chemistry,Natural Sciences,,,University of Colorado,Research Associate (post-doc),Research,Research
220,2010,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Brown University,PhD Student,Education,Education
221,2014,Biology,Natural Sciences,Chemistry,Natural Sciences,,,National Institute of Allergy & Infectious Diseases,Postdoctoral Researcher,Research,
222,2003,Biology,Natural Sciences,Chemistry,Natural Sciences,,,unknown,,Unknown,
223,2002,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Companion Animal Hospital,Clinical Veterinary Technician,Healthcare Services,Healthcare Services
224,2008,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Apple Store,Visual Merchandising/Inventory,Retail,
225,2020,Biology,Natural Sciences,Chemistry,Natural Sciences,,,"Florida Affiliated Dental Support, LLC",Administrative Assistant,Dentistry,Dentistry
226,2013,Biology,Natural Sciences,Chemistry,Natural Sciences,,,Indiana University,Assoc Instructor of Dev Biology,Education,Education
227,2005,Biology,Natural Sciences,Gender Studies,Social Sciences,,,"Merck& Co., Inc.",Engineer,Engineering,Engineering
228,2012,Biology,Natural Sciences,Gender Studies,Social Sciences,,,Johns Hopkins University School of Medicine,Research Technologist,Education,Education
229,2018,Music,Humanities,Biology,Natural Sciences,,,Marie Selby Botanical Gardens,Manager of Horticultural Exhibitions,Farming,Farming
230,2013,Biology,Natural Sciences,,,,,Steady Point,Private Tutor,Education,Education
231,2007,Biopsychology,Interdisciplinary,,,,,Points of Health,Acupuncture Physician,Healthcare,Healthcare
232,2003,Biopsychology,Interdisciplinary,,,,,E.W. Scripps,Developer,Entertainment,Entertainment
233,2011,Biopsychology,Interdisciplinary,,,,,Jackson Veterinary Hospital,Veterinary Technician,Medical,Medical
234,2017,Biopsychology,Interdisciplinary,,,,,New College of Florida,Psychology Tech,Education,
235,2019,Biopsychology,Interdisciplinary,,,,,The Center for Organizational Effectiveness,Asistant Consultant,Consulting,Consulting
236,2013,Biopsychology,Interdisciplinary,,,,,Women Against Abuse,Intake Counselor,Non Profit,Non Profit
237,2017,Biopsychology,Interdisciplinary,,,,,PetCo,Aquatics Specialist,Retail,Retail
238,2015,English,Humanities,,,,,Soukup Strategic Solutions,"Fundraising, Marketing & Communications Specialist",Marketing,Marketing
239,2004,English,Humanities,,,,,Case Western Reserve University,"Student/Faculty, Researcher, Consultant",Non Profit,Non Profit
240,2007,English,Humanities,,,,,University of Texas-Austin,Administrative Assistant,Education,Education
241,2008,English,Humanities,,,,,Pasco Hernando Community College,Assistant Director of Libraries,Education,Education
242,2006,English,Humanities,,,,,Cheery the Clown,Clown,Arts & Entertainment,Arts & Entertainment
243,2003,English,Humanities,,,,,Eat Media,Content Strategist,IT Communications,IT Communications
244,2003,English,Humanities,,,,,The Guardian,Writer,Journalism,Journalism
245,2007,English,Humanities,,,,,Palm Beach State College,Professor - English,Education,Education
246,2007,English,Humanities,,,,,Spiralgroup,Marketing Writer,Public Relations,Public Relations
247,2005,English,Humanities,,,,,Harvard University,Software Engineer,Education,Education
248,2002,English,Humanities,,,,,Alexandria Public Library,Librarian,Education,Education
249,2002,English,Humanities,,,,,Callisto Media,Director of Content Operations,Media,
250,2007,English,Humanities,Gender Studies,Social Sciences,,,I & Love & You,Field Marketing Manager,Pet Food,Pet Food
251,2007,English,Humanities,Gender Studies,Social Sciences,,,FIS,Newswriter,Media,
252,2006,English,Humanities,Gender Studies,Social Sciences,,,Speedway,Bike Messenger,Communications,Communications
253,2002,English,Humanities,Gender Studies,Social Sciences,,,State College of Florida,Adjunct of L&L Department,Education,Education
254,2002,English,Humanities,Gender Studies,Social Sciences,,,Arizona State University,Assistant Professor,Education,Education
255,2005,English,Humanities,Performance Studies,Interdisciplinary,,,Unknown,Geologist,Environmental,
256,2006,English,Humanities,Performance Studies,Interdisciplinary,,,Little Grey Hat Productions,Writer/Actor/Director/Composer,Entertainment,Entertainment
257,2016,Chemistry,Natural Sciences,,,,,New College of Florida,Campus Visit Coordinator,Education,Education
258,2008,Chemistry,Natural Sciences,,,,,Veterans health administration,,Healthcare,Healthcare
259,2002,Chemistry,Natural Sciences,,,,,Dynamic International Ministry,Missionary to West Africa,Religion,Religion
260,2015,Chemistry,Natural Sciences,,,,,Keller Williams Realty,Licensed Realtor,Real Estate,
261,2005,Chemistry,Natural Sciences,,,,,HCA Healthcare,Orthopaedic Surgeon,Medical,Medical
262,2003,Chemistry,Natural Sciences,,,,,Unknown,Attorney,Law,Law
263,2013,Chemistry,Natural Sciences,,,,,Texas A&M University,Chemistry Research Assistant,Research,Research
264,2007,Chemistry,Natural Sciences,,,,,General Atomics,Director of NIF Capsule Production,Manufacturing,Manufacturing
265,2004,Chemistry,Natural Sciences,,,,,Quantcast,Staff Modeling Scientist / Engineering Manager,Engineering,Engineering
266,2011,Chemistry,Natural Sciences,,,,,Johns Hopkins University,Graduate Assistant,Education,Education
267,2010,Chemistry,Natural Sciences,,,,,Massachusetts Institute of Technology,Research Assistant,Education,Education
268,2004,Chemistry,Natural Sciences,,,,,PPD,Group Lead,Medical,
269,2008,Chemistry,Natural Sciences,,,,,Canopy Oak Dental,Dentist,Medical,Medical
270,2008,Chemistry,Natural Sciences,,,,,USF,Neurology Resident,Healthcare,Healthcare
