ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
26,2014,Anthropology,Social Sciences,NA,NA,NA,NA,Fool and Scholar Productions,Writer & Creator,Entertainment,NA,Arts and Media,Arts and Media
27,2012,Anthropology,Social Sciences,NA,NA,NA,NA,OpenGov Inc.,Professional Services Manager,Software,NA,STEM,STEM
28,2012,Anthropology,Social Sciences,NA,NA,NA,NA,Kyoto City Board of Education,Assistant Language Teacher,Education,Education,Education,Education
29,2010,Anthropology,Social Sciences,NA,NA,NA,NA,New College of Florida,Campus Life Coordinator,Educational Services,Educational Services,Education,Education
30,2015,Anthropology,Social Sciences,NA,NA,NA,NA,Self- Employed,Doula,Healthcare,NA,Health and Medicine,Health and Medicine
31,2012,Anthropology,Social Sciences,NA,NA,NA,NA,The Top Resturant,Front of House Assistant,Restaurant,Restaurant,"Business, Finance, and Retail","Business, Finance, and Retail"
32,2009,Anthropology,Social Sciences,NA,NA,NA,NA,Alachua County Public Schools,Extended Day Enrichment Program On-Site Coordinato,Education,Education,Education,Education
33,2011,Anthropology,Social Sciences,NA,NA,NA,NA,McGuire Managment Group,Corporate Wine Director,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
34,2016,Anthropology,Social Sciences,NA,NA,NA,NA,ConwayStrategic,Communications Fellow,Communications,Communications,Arts and Media,Arts and Media
35,2008,Anthropology,Social Sciences,NA,NA,NA,NA,Village Coffee,Barista,Restaurant,Restaurant,"Business, Finance, and Retail","Business, Finance, and Retail"
36,2007,Anthropology,Social Sciences,NA,NA,NA,NA,Apple,Technician,Technology,Technology,STEM,STEM
37,2004,Anthropology,Social Sciences,NA,NA,NA,NA,Gentlestorm Productions LLC,President/Creative Director,Online Media,Online Media,Arts and Media,Arts and Media
38,2014,Anthropology,Social Sciences,NA,NA,NA,NA,"Crafted Earth, INC.",Project Assistant,Architecture,Architecture,STEM,STEM
39,2005,Anthropology,Social Sciences,NA,NA,NA,NA,Drug Policy Alliance,Publications Manager,Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
40,2005,Anthropology,Social Sciences,NA,NA,NA,NA,"Sandler, Travis & Rosenberg",Sr. Marketing Director,Media,Media,Arts and Media,Arts and Media
41,2011,Anthropology,Social Sciences,NA,NA,NA,NA,The National September 11 Memorial & Museum,Collections Management Assistant,Museums and Institutions,NA,Education,Education
42,2015,Anthropology,Social Sciences,NA,NA,NA,NA,The Kindezi Schools,NA,Education,Education,Education,Education
43,2004,Anthropology,Social Sciences,NA,NA,NA,NA,Green Light Acupuncture,Licensed Acupunturist,Medical,Medical,Health and Medicine,Health and Medicine
44,2007,Anthropology,Social Sciences,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,Other
45,2003,Anthropology,Social Sciences,NA,NA,NA,NA,Hummingbird Law,Associate Lawyer,Law,Law,Government and Social Services,Government and Social Services
46,2015,Anthropology,Social Sciences,NA,NA,NA,NA,Americorps,Americorps Vista,Non Profit,Non Profit,Government and Social Services,Government and Social Services
47,2013,Anthropology,Social Sciences,NA,NA,NA,NA,Trader Joe's,Cashier,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
48,2017,Anthropology,Social Sciences,NA,NA,NA,NA,Sky Vegetables,Greenhouse Coordinator,Farming,NA,STEM,STEM
49,2010,Anthropology,Social Sciences,NA,NA,NA,NA,unknown,Higher Education professional,Education,Education,Education,Education
50,2012,Anthropology,Social Sciences,NA,NA,NA,NA,Great Basin Institute,Park Guide,Archaeology,Archaeology,STEM,STEM
51,2004,Anthropology,Social Sciences,NA,NA,NA,NA,EJB Benefit Auctions,Lead Auctioneer & Fundraising Consultant,Consulting,Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
52,2014,Anthropology,Social Sciences,NA,NA,NA,NA,SCF Business Group,"Quality Assurance, Scribe",Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
53,2005,Anthropology,Social Sciences,NA,NA,NA,NA,Island Village Montessori School,NA,Education,NA,Education,Education
54,2015,Anthropology,Social Sciences,NA,NA,NA,NA,Spanish Govt,English Teacher,Education,Education,Education,Education
55,2004,Anthropology,Social Sciences,NA,NA,NA,NA,Advanced Green Technologies,Project manager,Technology,Technology,STEM,STEM
56,2017,Anthropology,Social Sciences,NA,NA,NA,NA,VISTA,Development & Outreach Coordinator,Software,NA,STEM,STEM
57,2004,Anthropology,Social Sciences,NA,NA,NA,NA,Seattle Central College,Associate Dean of Transfer Education,Education,Education,Education,Education
58,2012,Anthropology,Social Sciences,NA,NA,NA,NA,The Bureau Adventure Games,CEO,Entertainment,NA,Arts and Media,Arts and Media
59,2013,Anthropology,Social Sciences,NA,NA,NA,NA,Habitat for Humanity ReStore,Sales Associate,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
60,2002,Anthropology,Social Sciences,NA,NA,NA,NA,Unknown,Clinical Social Worker,Education,Education,Education,Education
61,2009,Anthropology,Social Sciences,German Language and Literature,Humanities,NA,NA,East Fork Cultivars,Account Manager,Farming,Farming,STEM,STEM
62,2005,Anthropology,Social Sciences,History,Social Sciences,NA,NA,SRS Consulting,Owner - Cultural Resource planning,Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
63,2006,Anthropology,Social Sciences,Philosophy,Humanities,NA,NA,University of CA Santa Cruz,unknown,Education,Education,Education,Education
64,2007,Anthropology,Social Sciences,Art,Humanities,NA,NA,Pretzel Lab,Lead Design Researcher,Research,NA,STEM,STEM
65,2002,Anthropology,Social Sciences,Art History,Humanities,NA,NA,USDA Natural Resources Conservation Service,Archaeologist/Cultural Resource Specialist,Environmental,Environmental,STEM,STEM
66,2006,Classics,Humanities,Anthropology,Social Sciences,NA,NA,ETSU Museum Studies,Education Coordinator,Education,Education,Education,Education
67,2007,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,NA,NA,DanceSafe,Executive Director,Non Profit,Non Profit,Government and Social Services,Government and Social Services
68,2006,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,NA,NA,BizBuySell,Sales,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
69,2014,Environmental Studies,Interdisciplinary,Anthropology,Social Sciences,NA,NA,Colorado Sun,Politics Reporter,Media,NA,Arts and Media,Arts and Media
70,2013,Anthropology,Social Sciences,Gender Studies,Social Sciences,NA,NA,FLYTE Sweden AB,Consultant - Content Writing,Business Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
71,2011,Anthropology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Americorps*VISTA,Coordinator,Education,Education,Education,Education
72,2008,Anthropology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Creative Players,Founder & Director,Arts & Entertainment,Arts & Entertainment,Arts and Media,Arts and Media
73,2010,Anthropology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Caramoor Center for Music and the Arts,Communications Marketing Manager,Arts,Arts,Arts and Media,Arts and Media
74,2010,Anthropology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Carle Health,Registered Nurse,Medical,NA,Health and Medicine,Health and Medicine
75,2013,Anthropology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Bull City Psychotherapy,Clinical Therapist,Psychotherapy,NA,Health and Medicine,Health and Medicine
76,2011,Anthropology,Social Sciences,History,Social Sciences,NA,NA,Self employed,Independent Ios Developer,Software,Software,STEM,STEM
77,2002,Anthropology,Social Sciences,History,Social Sciences,NA,NA,Moffitt Cancer Center,Intellectual Property Paralegal,Healthcare,Healthcare,Health and Medicine,Health and Medicine
78,2008,Anthropology,Social Sciences,Philosophy,Humanities,NA,NA,OMG Women's Health Care,Nurse Midwife,Healthcare,Healthcare,Health and Medicine,Health and Medicine
79,2007,Anthropology,Social Sciences,Philosophy,Humanities,NA,NA,Unknown,NA,Arts & Entertainment,Arts & Entertainment,Arts and Media,Arts and Media
80,2003,Political Science,Social Sciences,Anthropology,Social Sciences,NA,NA,Dakota Lithium Batteries,CEO,Technology,NA,STEM,STEM
81,2003,Humanities,Humanities,Anthropology,Social Sciences,NA,NA,U.S. Department of State,Program Analyst,Government,Government,Government and Social Services,Government and Social Services
82,2006,Anthropology,Social Sciences,Sociology,Social Sciences,NA,NA,Spencer Cox Ctr for Health Mt Sinai St. Luke Roosevelt Hosp,Program Director,Healthcare,Healthcare,Health and Medicine,Health and Medicine
83,2008,Anthropology,Social Sciences,Spanish Language and Literature,Humanities,NA,NA,Tulane University School of Medicine,Pulmonary & Critical Care Fellow,Medical,NA,Health and Medicine,Health and Medicine
84,2005,Anthropology,Social Sciences,Spanish Language and Literature,Humanities,NA,NA,"Eye for Talent, Tree Frog Treks, Blue Bear School",Musician,Arts & Entertainment,Arts & Entertainment,Arts and Media,Arts and Media
85,2009,Anthropology,Social Sciences,Performance Studies,Interdisciplinary,NA,NA,The Art Theatre Cooperative,General Manager,Film,Film,Arts and Media,Arts and Media
86,2015,Applied Mathematics,Natural Sciences,NA,NA,NA,NA,Kellstrom Materials,Data Analyst,Manufacturing,Manufacturing,STEM,STEM
87,2016,Applied Mathematics,Natural Sciences,NA,NA,NA,NA,Superluminal Partners,Partner,Law,NA,Government and Social Services,Government and Social Services
88,2016,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,NA,NA,Sage Renewable Energy Consulting,Associate,Services,Services,"Business, Finance, and Retail","Business, Finance, and Retail"
89,2011,Biology,Natural Sciences,Applied Mathematics,Natural Sciences,NA,NA,Navy Medical Research Center,Research Associate,Research,NA,STEM,STEM
90,2012,Computer Science,Natural Sciences,Applied Mathematics,Natural Sciences,NA,NA,Google,Software Engineer,Software,Software,STEM,STEM
91,2012,Applied Mathematics,Natural Sciences,Computer Science,Natural Sciences,NA,NA,Puppytown,Sales,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
92,2013,Music,Humanities,Applied Mathematics,Natural Sciences,NA,NA,PharmaCline,Math Modeller,Medical,Medical,Health and Medicine,Health and Medicine
93,2008,Art,Humanities,NA,NA,NA,NA,Lina Maslo Illustration,Freelance Author & Illustrator,Art,Art,Arts and Media,Arts and Media
94,2006,Art,Humanities,NA,NA,NA,NA,San Mateo County Library,Librarian,Library,Library,Education,Education
95,2010,Art,Humanities,NA,NA,NA,NA,North American Teaching and Cultural Assistant Program,Teaching Assistant,Education,Education,Education,Education
96,2010,Art,Humanities,NA,NA,NA,NA,Big E's Cafe,Barista,Food Service,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
97,2009,Art,Humanities,NA,NA,NA,NA,The School of the Art Institute of Chicago,Student Designer,Education,Education,Education,Education
98,2012,Art,Humanities,NA,NA,NA,NA,Manatee County School District,Art Teacher,Education,Education,Education,Education
99,2006,Art,Humanities,NA,NA,NA,NA,Self-Employed,Massage,Healthcare,Healthcare,Health and Medicine,Health and Medicine
100,2014,Art,Humanities,NA,NA,NA,NA,PostcardMania,Quality Control Manager,Marketing,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
101,2007,Art,Humanities,NA,NA,NA,NA,Smithsonian Center for Learning & Digital Access,Digital Interactive Designer,Media,Media,Arts and Media,Arts and Media
102,2015,Art,Humanities,NA,NA,NA,NA,Anthropologie,Sales Associate,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
103,2009,Art,Humanities,NA,NA,NA,NA,"UrbanWorks, Ltd.",Designer,Architecture,Architecture,STEM,STEM
104,2007,Art,Humanities,NA,NA,NA,NA,Boston College,Staff Assistant,Education,Education,Education,Education
105,2009,Art,Humanities,NA,NA,NA,NA,Schoolhouse,Graphic Designer,Arts,Arts,Arts and Media,Arts and Media
106,2008,Art,Humanities,NA,NA,NA,NA,Ready-to-Grow Gardens,Owner,Arts,Arts,Arts and Media,Arts and Media
107,2016,Art,Humanities,NA,NA,NA,NA,Art Center Sarasota,Exhibitions & Marketing Coordinator,Arts,NA,Arts and Media,Arts and Media
108,2011,Art,Humanities,NA,NA,NA,NA,Rollins College Child Development Cneter,Assistant Teacher,Education,Education,Education,Education
109,2007,Art,Humanities,NA,NA,NA,NA,New York City Office of Emergency Management,Outreach Coordinator,Government,NA,Government and Social Services,Government and Social Services
110,2006,Art,Humanities,NA,NA,NA,NA,"Marina Williams Art, Design & Photography",Freelance Photographer/Artist,Antiques,Antiques,Arts and Media,Arts and Media
111,2011,Art,Humanities,NA,NA,NA,NA,WiSP Sports Network,Producer & Host,Media,NA,Arts and Media,Arts and Media
112,2008,Art,Humanities,NA,NA,NA,NA,Conifer Health Solutions,Senior Referral Advisor,Healthcare,Healthcare,Health and Medicine,Health and Medicine
113,2010,Art,Humanities,NA,NA,NA,NA,Etra Fine Art,Gallerist,Arts,Arts,Arts and Media,Arts and Media
114,2012,Art History,Humanities,Art,Humanities,NA,NA,Hunter College,College Assistant at Zabar Art Library,Education,Education,Education,Education
115,2012,Art History,Humanities,NA,NA,NA,NA,Starbucks,Shift Supervisor,Food Service,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
116,2002,Art History,Humanities,NA,NA,NA,NA,Bank of America,Assistant General Counsel,Banking,Banking,"Business, Finance, and Retail","Business, Finance, and Retail"
117,2013,Art History,Humanities,NA,NA,NA,NA,Caldwell Snyder Gallery,Gallery Administrator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
118,2017,Art History,Humanities,NA,NA,NA,NA,Whitney Museum of American Art,Visitor Services Assistant,Museums and Institutions,Museums and Institutions,Education,Education
119,2012,Art History,Humanities,NA,NA,NA,NA,Self employed,Leadership Coach & Business Consultant,Business Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
120,2013,Art History,Humanities,NA,NA,NA,NA,Freelance,Copy Editor,Media,NA,Arts and Media,Arts and Media
121,2005,Art History,Humanities,NA,NA,NA,NA,Customink.com,Sales/Service Representative,Textiles,Textiles,STEM,STEM
122,2019,Art History,Humanities,NA,NA,NA,NA,Sarasota Museum of Art,Curatorial Assistant,Museums and Institutions,Museums and Institutions,Education,Education
123,2013,Art History,Humanities,NA,NA,NA,NA,Museum of Arts and Design,Assistant Registrar,Museums and Institutions,Museums and Institutions,Education,Education
124,2008,Art History,Humanities,NA,NA,NA,NA,Galveston County District Attorney,Assistant District Attorney,Law,Law,Government and Social Services,Government and Social Services
125,2015,Art History,Humanities,Classics,Humanities,NA,NA,"Schoenberg Database of Manuscripts, U. of Pennsylvania",Research Assistant,Research,Research,STEM,STEM
126,2013,German Language and Literature,Humanities,Art History,Humanities,NA,NA,Crisis Action,HR Assistant,Non Profit,Non Profit,Government and Social Services,Government and Social Services
127,2019,International and Area Studies,Interdisciplinary,Art History,Humanities,NA,NA,J. Paul Getty Trust,"Graduate Intern, Digital & Print Publications",Arts,NA,Arts and Media,Arts and Media
128,2013,Art History,Humanities,Gender Studies,Social Sciences,NA,NA,Flocabulary,Director of Product,Education,NA,Education,Education
129,2015,Art History,Humanities,Gender Studies,Social Sciences,NA,NA,Coder,Sales Development Representative,Software,NA,STEM,STEM
130,2014,Art History,Humanities,German Language and Literature,Humanities,NA,NA,The Museum of Flight,Development Coordinator,Museums and Institutions,Museums and Institutions,Education,Education
131,2010,Literature,Humanities,Art History,Humanities,NA,NA,"Jane Rotosen Agency, LLC",Rights Associate (Literary Agent),Publishing,Publishing,Arts and Media,Arts and Media
132,2013,Art History,Humanities,Music,Humanities,NA,NA,Finn Law Group PA,Paralegal,Law,Law,Government and Social Services,Government and Social Services
133,2019,Art,Humanities,Art History,Humanities,NA,NA,Temple Beth Sholom,Youth Advisor,Religion,Religion,Government and Social Services,Government and Social Services
134,2018,Art,Humanities,Art History,Humanities,NA,NA,Boston Tea Party Cafe,Team Member,Food Service,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
135,2016,Art,Humanities,Art History,Humanities,NA,NA,TestMasters,NA,Educational Services,Educational Services,Education,Education
136,2014,Art,Humanities,Economics,Social Sciences,NA,NA,IBM Security,Social Media Strategist,Technology,NA,STEM,STEM
137,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,University of Michigan,General Surgery Resident,Medical,NA,Health and Medicine,Health and Medicine
138,2005,Chemistry,Natural Sciences,NA,NA,NA,NA,Cornell Cooperative Extension,Agriculture Resource Educator,Agriculture,Agriculture,STEM,STEM
139,2020,Chemistry,Natural Sciences,NA,NA,NA,NA,University of Miami,Laboratory Assistant,Education,NA,Education,Education
140,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,Washington U Sch of Med Neurology Dept,Research Technician,Research,NA,STEM,STEM
141,2014,Chemistry,Natural Sciences,NA,NA,NA,NA,Americorps,Corps Member,Non Profit,Non Profit,Government and Social Services,Government and Social Services
142,2018,Chemistry,Natural Sciences,NA,NA,NA,NA,The Hebrew University of Jerusalem,Research Assistant (part-time),Higher education,Higher education,Education,Education
143,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,Cold Spring Harbor Laboratory,Postdoctoral Fellow,Education,NA,Education,Education
144,2010,Chemistry,Natural Sciences,NA,NA,NA,NA,Brigham and Women's Hospital,Clinical Fellow OBGYN,Healthcare,Healthcare,Health and Medicine,Health and Medicine
145,2004,Chemistry,Natural Sciences,NA,NA,NA,NA,Shriners Hospitals for Children,Corporate Counsel,Healthcare,Healthcare,Health and Medicine,Health and Medicine
146,2012,Chemistry,Natural Sciences,NA,NA,NA,NA,National Institute of Health,virology research lab assistant,Medical,Medical,Health and Medicine,Health and Medicine
147,2020,Chemistry,Natural Sciences,NA,NA,NA,NA,State College of Florida-Manatee-Sarasota,Supplemental Instruction Specialist,Higher education,Higher education,Education,Education
148,2005,Chemistry,Natural Sciences,NA,NA,NA,NA,BioMarin Pharmaceutical Inc.,"Scientist II, Statistical Genetics",Medical,NA,Health and Medicine,Health and Medicine
149,2016,Chemistry,Natural Sciences,NA,NA,NA,NA,University of Florida,Graduate Research Assistant,Education,Education,Education,Education
150,2013,Chemistry,Natural Sciences,NA,NA,NA,NA,University of South Carolina,Medical assistant,Medical,Medical,Health and Medicine,Health and Medicine
151,2010,Chemistry,Natural Sciences,NA,NA,NA,NA,Spectrum Youth and Family Services,Americorps Resource Coordinator,Services,Services,"Business, Finance, and Retail","Business, Finance, and Retail"
152,2007,Chemistry,Natural Sciences,NA,NA,NA,NA,University of South Florida,Graduate Assistant,Education,Education,Education,Education
153,2012,Chemistry,Natural Sciences,NA,NA,NA,NA,National Cancer Institute,post-baccalaureate research,Medical,Medical,Health and Medicine,Health and Medicine
154,2003,Biopsychology,Interdisciplinary,NA,NA,NA,NA,"Shenkman Capital Management, Inc.",Loan Operations Manager,Financial Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
155,2006,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Cornell University,Teaching & Research Assistant,Education,Education,Education,Education
156,2009,Biopsychology,Interdisciplinary,NA,NA,NA,NA,University of Florida-North Florida Research and Education C,Research Assistant,Education,NA,Education,Education
157,2010,Biopsychology,Interdisciplinary,NA,NA,NA,NA,MAPS,Executive Director of MAPS,Medical,NA,Health and Medicine,Health and Medicine
158,2013,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Unknown,Admissions Work Study,Education,Education,Education,Education
159,2011,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Optum,"Senior Consultant, Advisory Services",Medical,NA,Health and Medicine,Health and Medicine
160,2005,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Regal Entertainment Group,General Manager,Services,Services,"Business, Finance, and Retail","Business, Finance, and Retail"
161,2007,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Apple,Vision Scientist,Technology,NA,STEM,STEM
162,2013,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Angels of Charity,Volunteer,Non Profit,NA,Government and Social Services,Government and Social Services
163,2007,Biopsychology,Interdisciplinary,NA,NA,NA,NA,PRA Health Sciences Assigned to Merck,Senior Clinical Trial Coordinator,Medical,Medical,Health and Medicine,Health and Medicine
164,2009,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Cowlitz Family Health Center,ARNP,Healthcare,Healthcare,Health and Medicine,Health and Medicine
165,2009,Biopsychology,Interdisciplinary,NA,NA,NA,NA,Naval Aerospace Medical Institute,Physician-Aerospace Medicine Resident,Healthcare,Healthcare,Health and Medicine,Health and Medicine
166,2002,Biology,Natural Sciences,NA,NA,NA,NA,Fish and Wildlife Research Institute,Research Scientist,Environmental Science,Environmental Science,STEM,STEM
167,2003,Biology,Natural Sciences,NA,NA,NA,NA,Benjamin Zolper MD,Physical Therapist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
168,2006,Biology,Natural Sciences,NA,NA,NA,NA,University of Chicago (Ecology & Evolution Dept),PhD Candidate,Education,Education,Education,Education
169,2012,Biology,Natural Sciences,NA,NA,NA,NA,University of Wisconsin-Madison,Graduate Student Researcher,Education,Education,Education,Education
170,2007,Biology,Natural Sciences,NA,NA,NA,NA,Wellington Veterinary Clinic,Veterinary Asst.,Healthcare,Healthcare,Health and Medicine,Health and Medicine
171,2006,Biology,Natural Sciences,NA,NA,NA,NA,Southside Community School,Science Teacher,Education,Education,Education,Education
172,2009,Biology,Natural Sciences,NA,NA,NA,NA,UT Southwestern Medical Center,Physician Assistant,Medical,NA,Health and Medicine,Health and Medicine
173,2002,Biology,Natural Sciences,NA,NA,NA,NA,National Oceanic and Atmospheric Administration,Program Coordinator,Environmental Services,Environmental Services,STEM,STEM
174,2018,Biology,Natural Sciences,NA,NA,NA,NA,F.W. Bucholz High School,Biology Teacher,Education,Education,Education,Education
175,2008,Biology,Natural Sciences,NA,NA,NA,NA,Regions Bank,Project Manager,Banking,Banking,"Business, Finance, and Retail","Business, Finance, and Retail"
176,2002,Biology,Natural Sciences,NA,NA,NA,NA,Sound Family Medicine,Physician,Healthcare,Healthcare,Health and Medicine,Health and Medicine
177,2002,Biology,Natural Sciences,NA,NA,NA,NA,University of Wisconsin at Madison,Research Specialist,Education,Education,Education,Education
178,2008,Biology,Natural Sciences,NA,NA,NA,NA,Banfield Pet Hospital,Small Animal Veterinary Technician,Medicine,Medicine,Health and Medicine,Health and Medicine
179,2006,Biology,Natural Sciences,NA,NA,NA,NA,Florida Digestive Health Specialists,Physician's Assistant,Healthcare,Healthcare,Health and Medicine,Health and Medicine
180,2009,Biology,Natural Sciences,NA,NA,NA,NA,Mountain Region Family Medicine PC,Osteopathic Physician,Healthcare,Healthcare,Health and Medicine,Health and Medicine
181,2020,Biology,Natural Sciences,NA,NA,NA,NA,Cosmetic Solutions,R&D Administrative Assistant,Business,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
182,2010,Biology,Natural Sciences,NA,NA,NA,NA,Moffitt Cancer Center,Postdoctoral Fellow,Healthcare,Healthcare,Health and Medicine,Health and Medicine
183,2020,Biology,Natural Sciences,NA,NA,NA,NA,Kaycha Labs,Microbiologist/Laboratory Analyst,Research,NA,STEM,STEM
184,2014,Biology,Natural Sciences,NA,NA,NA,NA,Western Carolina University,Teaching Assistant,Education,Education,Education,Education
185,2004,Biology,Natural Sciences,NA,NA,NA,NA,Sarasota County,Environmental Specialist,City/County/State,City/County/State,Government and Social Services,Government and Social Services
186,2005,Biology,Natural Sciences,NA,NA,NA,NA,Trout Unlimited,Project Manager,Environmental Science,Environmental Science,STEM,STEM
187,2007,Biology,Natural Sciences,NA,NA,NA,NA,U. of FL Pain Research & Intervention Ctr of Excellence,Postdoctoral Fellow,Healthcare,Healthcare,Health and Medicine,Health and Medicine
188,2004,Biology,Natural Sciences,NA,NA,NA,NA,Bureau of Ocean Energy Management,Renewable Energy Program Specialist,Government,Government,Government and Social Services,Government and Social Services
189,2010,Biology,Natural Sciences,NA,NA,NA,NA,University of Florida,Lab Tech,Education,NA,Education,Education
